"state","statecode","popden18","pop18","state.land.sq.mile","religious.event.exempt","percent.poverty","fips","stayhome","end_sthm","fm_all","fm_end","clrest","endrest","clrst2","endrest2","clschool","clgym","endgym","clgym2","end_clgym2","closebar","end_brs","clbar2","end_brs2","end_relg","qmst","qmat","qmt","qm_end","clbsns","end_bsns","fm_end_2","endrest_2","endrest2_2","endgym_2","end_clgym2_2","end_brs_2","end_brs2_2","end_sthm_2","end_relg_2","qm_end_2","end_bsns_2","clgym2_2","clbar2_2","clrst2_2","drcp1_2020","drcp2_2020","dbcp1_2020","dbcp2_2020","dgcp1_2020","dgcp2_2020","days.with.mask","days.gym.closed","days.stay.at.home","days.restaurant.closed","days.bar.closed","days.travel.quar","days.nonesst.bus.closed"
"Alabama","AL",93.24,"4887871",52420,0,16.8,1,2020-04-04,2020-04-30,2020-07-16,NA,2020-03-19,2020-05-11,NA,NA,2020-03-20,2020-03-28,2020-05-11,NA,NA,2020-03-19,2020-05-11,NA,NA,2020-05-11,NA,NA,NA,NA,2020-03-28,2020-04-30,2020-12-14,2020-05-11,2020-12-14,2020-05-11,2020-12-14,2020-05-11,2020-12-14,2020-04-30,2020-05-11,2020-12-14,2020-04-30,2020-12-14,2020-12-14,2020-12-14,53,0,53,0,44,0,151,44,26,53,53,0,33
"Alaska","AK",1.11,"737438",665384,0,10.9,2,2020-03-28,2020-04-24,2020-04-24,2020-05-22,2020-03-18,2020-04-24,NA,NA,2020-03-16,2020-03-18,2020-05-08,NA,NA,2020-03-18,2020-05-08,NA,NA,2020-05-08,NA,NA,NA,NA,2020-03-24,2020-04-24,2020-05-22,2020-04-24,2020-12-14,2020-05-08,2020-12-14,2020-05-08,2020-12-14,2020-04-24,2020-05-08,2020-12-14,2020-04-24,2020-12-14,2020-12-14,2020-12-14,37,0,51,0,51,0,28,51,27,37,51,0,31
"Arizona","AZ",62.91,"7171646",113990,1,14,4,2020-03-31,2020-05-16,NA,NA,2020-03-21,2020-05-11,NA,NA,2020-03-16,2020-03-21,2020-05-13,2020-06-29,NA,2020-03-21,2020-05-16,2020-06-29,NA,NA,NA,NA,NA,NA,2020-03-31,2020-05-08,2020-12-14,2020-05-11,2020-12-14,2020-05-13,2020-12-14,2020-05-16,2020-12-14,2020-05-16,2020-12-14,2020-12-14,2020-05-08,2020-06-29,2020-06-29,NA,51,NA,56,168,53,168,0,221,46,51,224,0,38
"Arkansas","AR",56.67,"3013825",53179,0,17.2,5,NA,NA,2020-07-20,NA,2020-03-20,2020-05-11,NA,NA,2020-03-17,2020-03-20,2020-05-04,NA,NA,2020-03-20,2020-05-19,NA,NA,NA,NA,NA,NA,NA,2020-04-06,2020-05-04,2020-12-14,2020-05-11,2020-12-14,2020-05-04,2020-12-14,2020-05-19,2020-12-14,2020-12-14,2020-12-14,2020-12-14,2020-05-04,2020-12-14,2020-12-14,2020-12-14,52,0,60,0,45,0,147,45,0,52,60,0,28
"California","CA",241.65,"39557045",163695,0,12.8,6,2020-03-19,2021-01-25,2020-06-18,NA,2020-03-16,2020-05-18,2020-07-13,NA,2020-03-23,2020-03-19,NA,NA,NA,2020-03-16,NA,NA,NA,2020-05-25,NA,NA,NA,NA,2020-03-19,2020-05-08,2020-12-14,2020-05-18,2020-12-14,2020-12-14,2020-12-14,2020-12-14,2020-12-14,2020-12-14,2020-05-25,2020-12-14,2020-05-08,2020-12-14,2020-12-14,2020-07-13,63,154,273,0,270,0,179,270,270,217,273,0,50
"Colorado","CO",54.72,"5695564",104094,1,9.6,8,2020-03-26,2020-04-27,2020-07-16,NA,2020-03-17,2020-05-27,NA,NA,2020-03-23,2020-03-17,2020-06-04,NA,NA,2020-03-17,2020-06-18,2020-06-30,NA,2020-06-04,NA,NA,NA,NA,2020-03-19,2020-05-01,2020-12-14,2020-05-27,2020-12-14,2020-06-04,2020-12-14,2020-06-18,2020-12-14,2020-04-27,2020-06-04,2020-12-14,2020-05-01,2020-12-14,2020-06-30,2020-12-14,71,0,93,167,79,0,151,79,32,71,260,0,43
"Connecticut","CT",644.54,"3572665",5543,0,10.4,9,2020-03-23,2020-05-20,2020-04-20,NA,2020-03-16,2020-05-20,NA,NA,2020-03-17,2020-03-16,2020-06-17,NA,NA,2020-03-16,NA,NA,NA,2020-05-29,NA,NA,NA,NA,2020-03-23,2020-05-20,2020-12-14,2020-05-20,2020-12-14,2020-06-17,2020-12-14,2020-12-14,2020-12-14,2020-05-20,2020-05-29,2020-12-14,2020-05-20,2020-12-14,2020-12-14,2020-12-14,65,0,273,0,93,0,238,93,58,65,273,0,58
"Delaware","DE",388.58,"967171",2489,1,12.5,10,2020-03-24,2020-06-01,2020-04-28,NA,2020-03-16,2020-06-01,NA,NA,2020-03-16,2020-03-19,2020-06-01,NA,NA,2020-03-16,2020-06-15,NA,NA,2020-05-20,NA,NA,NA,NA,2020-03-24,2020-05-08,2020-12-14,2020-06-01,2020-12-14,2020-06-01,2020-12-14,2020-06-15,2020-12-14,2020-06-01,2020-05-20,2020-12-14,2020-05-08,2020-12-14,2020-12-14,2020-12-14,77,0,91,0,74,0,230,74,69,77,91,0,45
"District of Columbia","DC",11496.81,"702455",61.1,0,16.2,11,2020-04-01,2020-05-29,2020-04-17,NA,2020-03-16,2020-05-29,2020-12-23,2021-01-22,2020-03-16,2020-03-17,2020-06-22,NA,NA,2020-03-16,2020-05-29,NA,NA,2020-06-22,NA,NA,NA,NA,2020-03-25,2020-05-29,2020-12-14,2020-05-29,2020-12-14,2020-06-22,2020-12-14,2020-05-29,2020-12-14,2020-05-29,2020-06-22,2020-12-14,2020-05-29,2020-12-14,2020-12-14,2020-12-14,74,0,74,0,97,0,241,97,58,74,74,0,65
"Florida","FL",323.9,"21299325",65758,1,13.6,12,2020-04-03,2020-05-18,NA,NA,2020-04-03,2020-05-18,NA,NA,2020-03-17,2020-04-03,2020-05-18,NA,NA,2020-03-17,2020-06-05,2020-06-26,2020-09-14,NA,NA,NA,NA,NA,2020-04-03,2020-05-18,2020-12-14,2020-05-18,2020-12-14,2020-05-18,2020-12-14,2020-06-05,2020-09-14,2020-05-18,2020-12-14,2020-12-14,2020-05-18,2020-12-14,2020-06-26,2020-12-14,45,0,80,80,45,0,0,45,45,45,160,0,45
"Georgia","GA",177.02,"10519475",59425,0,14.3,13,2020-04-03,2020-05-01,NA,NA,2020-04-03,2020-04-27,NA,NA,2020-03-18,2020-04-03,2020-04-24,NA,NA,2020-03-24,2020-06-01,NA,NA,NA,NA,NA,NA,NA,2020-04-03,2020-05-01,2020-12-14,2020-04-27,2020-12-14,2020-04-24,2020-12-14,2020-06-01,2020-12-14,2020-05-01,2020-12-14,2020-12-14,2020-05-01,2020-12-14,2020-12-14,2020-12-14,24,0,69,0,21,0,0,21,28,24,69,0,28
"Hawaii","HI",129.94,"1420491",10932,0,8.8,15,2020-03-25,2020-05-31,NA,NA,2020-03-17,2020-06-05,NA,NA,2020-03-16,2020-03-25,2020-06-19,NA,NA,2020-03-17,2020-06-26,NA,NA,2020-05-18,NA,NA,NA,NA,2020-03-25,2020-05-07,2020-12-14,2020-06-05,2020-12-14,2020-06-19,2020-12-14,2020-06-26,2020-12-14,2020-05-31,2020-05-18,2020-12-14,2020-05-07,2020-12-14,2020-12-14,2020-12-14,80,0,101,0,86,0,0,86,67,80,101,0,43
"Idaho","ID",20.99,"1754208",83569,0,11.8,16,2020-03-25,2020-05-01,NA,NA,2020-03-25,2020-05-16,NA,NA,2020-03-24,2020-03-25,2020-05-16,NA,NA,2020-03-25,2020-05-30,NA,NA,2020-05-01,NA,NA,NA,NA,2020-03-25,2020-05-01,2020-12-14,2020-05-16,2020-12-14,2020-05-16,2020-12-14,2020-05-30,2020-12-14,2020-05-01,2020-05-01,2020-12-14,2020-05-01,2020-12-14,2020-12-14,2020-12-14,52,0,66,0,52,0,0,52,37,52,66,0,37
"Illinois","IL",220,"12741080",57914,0,12.1,17,2020-03-21,2020-05-29,2020-05-01,NA,2020-03-16,2020-05-29,2020-11-20,NA,2020-03-17,2020-03-21,2020-05-29,NA,NA,2020-03-16,2020-06-26,2020-11-20,NA,2020-05-01,NA,NA,NA,NA,2020-03-21,2020-05-29,2020-12-14,2020-05-29,2020-12-14,2020-05-29,2020-12-14,2020-06-26,2020-12-14,2020-05-29,2020-05-01,2020-12-14,2020-05-29,2020-12-14,2020-11-20,2020-11-20,74,24,102,24,69,0,227,69,69,98,126,0,69
"Indiana","IN",183.74,"6691878",36420,0,13.1,18,2020-03-25,2020-05-18,2020-07-27,NA,2020-03-16,2020-05-18,NA,NA,2020-03-20,2020-03-25,2020-06-01,NA,NA,2020-03-16,2020-06-12,NA,NA,2020-05-08,NA,NA,NA,NA,2020-03-25,2020-05-18,2020-12-14,2020-05-18,2020-12-14,2020-06-01,2020-12-14,2020-06-12,2020-12-14,2020-05-18,2020-05-08,2020-12-14,2020-05-18,2020-12-14,2020-12-14,2020-12-14,63,0,88,0,68,0,140,68,54,63,88,0,54
"Iowa","IA",56.09,"3156145",56273,0,11.2,19,NA,NA,2020-11-16,2021-02-07,2020-03-17,2020-05-15,NA,NA,2020-04-02,2020-03-17,2020-05-15,NA,NA,2020-03-17,2020-05-28,NA,NA,2020-05-01,NA,NA,NA,NA,2020-03-26,2020-05-15,2020-12-14,2020-05-15,2020-12-14,2020-05-15,2020-12-14,2020-05-28,2020-12-14,2020-12-14,2020-05-01,2020-12-14,2020-05-15,2020-12-14,2020-12-14,2020-12-14,59,0,72,0,59,0,28,59,0,59,72,0,50
"Kansas","KS",35.39,"2911505",82278,1,12,20,2020-03-30,2020-05-04,2020-07-03,NA,2020-03-30,2020-05-04,NA,NA,2020-03-18,2020-03-30,2020-05-18,NA,NA,2020-03-30,2020-06-08,NA,NA,2020-05-04,NA,NA,NA,NA,2020-03-30,2020-05-04,2020-12-14,2020-05-04,2020-12-14,2020-05-18,2020-12-14,2020-06-08,2020-12-14,2020-05-04,2020-05-04,2020-12-14,2020-05-04,2020-12-14,2020-12-14,2020-12-14,35,0,70,0,49,0,164,49,35,35,70,0,35
"Kentucky","KY",110.58,"4468402",40408,0,16.9,21,2020-03-26,2020-06-29,2020-05-11,NA,2020-03-16,2020-05-22,2020-11-20,NA,2020-03-17,2020-03-18,2020-06-01,NA,NA,2020-03-16,2020-06-29,2020-07-28,2020-08-11,2020-05-09,NA,NA,NA,NA,2020-03-26,2020-05-11,2020-12-14,2020-05-22,2020-12-14,2020-06-01,2020-12-14,2020-06-29,2020-08-11,2020-06-29,2020-05-09,2020-12-14,2020-05-11,2020-12-14,2020-07-28,2020-11-20,67,24,105,14,75,0,217,75,95,91,119,0,46
"Louisiana","LA",88.97,"4659978",52378,0,18.6,22,2020-03-23,2020-05-15,2020-08-07,NA,2020-03-17,2020-05-01,NA,NA,2020-03-16,2020-03-17,2020-05-15,NA,NA,2020-03-17,2020-06-05,2020-07-13,NA,2020-05-15,NA,NA,NA,NA,2020-03-23,2020-05-01,2020-12-14,2020-05-01,2020-12-14,2020-05-15,2020-12-14,2020-06-05,2020-12-14,2020-05-15,2020-05-15,2020-12-14,2020-05-01,2020-12-14,2020-07-13,2020-12-14,45,0,80,154,59,0,129,59,53,45,234,0,39
"Maine","ME",37.83,"1338404",35380,0,11.6,23,2020-04-02,2020-05-31,2020-05-01,NA,2020-03-18,2020-06-01,NA,NA,2020-04-02,2020-03-25,2020-06-17,NA,NA,2020-03-18,2020-06-17,NA,NA,2020-05-29,NA,NA,NA,NA,2020-03-25,2020-05-01,2020-12-14,2020-06-01,2020-12-14,2020-06-17,2020-12-14,2020-06-17,2020-12-14,2020-05-31,2020-05-29,2020-12-14,2020-05-01,2020-12-14,2020-12-14,2020-12-14,75,0,91,0,84,0,227,84,59,75,91,0,37
"Maryland","MD",487.08,"6042718",12406,0,9,24,2020-03-30,2020-05-15,2020-04-18,NA,2020-03-16,2020-05-29,NA,NA,2020-03-16,2020-03-16,2020-06-19,NA,NA,2020-03-16,2020-06-12,NA,NA,2020-05-15,NA,NA,NA,NA,2020-03-23,2020-05-15,2020-12-14,2020-05-29,2020-12-14,2020-06-19,2020-12-14,2020-06-12,2020-12-14,2020-05-15,2020-05-15,2020-12-14,2020-05-15,2020-12-14,2020-12-14,2020-12-14,74,0,88,0,95,0,240,95,46,74,88,0,53
"Massachusetts","MA",653.98,"6902149",10554,0,10,25,2020-03-24,2020-05-18,2020-05-06,NA,2020-03-17,2020-06-08,NA,NA,2020-03-17,2020-03-24,2020-07-13,NA,NA,2020-03-17,NA,NA,NA,2020-05-18,NA,NA,NA,NA,2020-03-24,2020-05-18,2020-12-14,2020-06-08,2020-12-14,2020-07-13,2020-12-14,2020-12-14,2020-12-14,2020-05-18,2020-05-18,2020-12-14,2020-05-18,2020-12-14,2020-12-14,2020-12-14,83,0,272,0,111,0,222,111,55,83,272,0,55
"Michigan","MI",103.36,"9995915",96714,1,14.1,26,2020-03-24,2020-06-01,2020-04-27,NA,2020-03-16,2020-06-08,NA,NA,2020-03-16,2020-03-16,2020-09-09,NA,NA,2020-03-16,2020-06-08,2020-07-31,NA,NA,NA,NA,NA,NA,2020-03-24,2020-05-26,2020-12-14,2020-06-08,2020-12-14,2020-09-09,2020-12-14,2020-06-08,2020-12-14,2020-06-01,2020-12-14,2020-12-14,2020-05-26,2020-12-14,2020-07-31,2020-12-14,84,0,84,136,177,0,231,177,69,84,220,0,63
"Minnesota","MN",64.54,"5611179",86936,0,9.6,27,2020-03-28,2020-05-18,2020-07-24,NA,2020-03-17,2020-06-01,2020-11-21,NA,2020-03-18,2020-03-17,2020-06-10,2020-11-21,NA,2020-03-17,2020-06-10,2020-11-21,NA,2020-05-18,NA,NA,NA,NA,2020-03-28,2020-04-27,2020-12-14,2020-06-01,2020-12-14,2020-06-10,2020-12-14,2020-06-10,2020-12-14,2020-05-18,2020-05-18,2020-12-14,2020-04-27,2020-11-21,2020-11-21,2020-11-21,76,23,85,23,85,23,143,108,51,99,108,0,30
