"state","statecode","popden18","pop18","state.land.sq.mile","religious.event.exempt","percent.poverty","fips","stayhome","end_sthm","fm_all","fm_end","clrest","endrest","clrst2","endrest2","clschool","clgym","endgym","clgym2","end_clgym2","closebar","end_brs","clbar2","end_brs2","end_relg","qmst","qmat","qmt","qm_end","clbsns","end_bsns","fm_end_2","endrest_2","endrest2_2","endgym_2","end_clgym2_2","end_brs_2","end_brs2_2","end_sthm_2","end_relg_2","qm_end_2","end_bsns_2","clgym2_2","clbar2_2","clrst2_2","drcp1_2020","drcp2_2020","dbcp1_2020","dbcp2_2020","dgcp1_2020","dgcp2_2020","days.with.mask","days.gym.closed","days.stay.at.home","days.restaurant.closed","days.bar.closed","days.travel.quar","days.nonesst.bus.closed"
"Mississippi","MS",61.66,"2986530",48432,0,19.7,28,2020-04-03,2020-04-27,2020-08-05,2020-09-30,2020-04-03,2020-05-07,NA,NA,2020-03-20,2020-04-03,2020-05-11,NA,NA,2020-04-03,2020-06-01,NA,NA,NA,NA,NA,NA,NA,2020-04-03,2020-04-27,2020-09-30,2020-05-07,2020-12-14,2020-05-11,2020-12-14,2020-06-01,2020-12-14,2020-04-27,2020-12-14,2020-12-14,2020-04-27,2020-12-14,2020-12-14,2020-12-14,34,0,59,0,38,0,56,38,24,34,59,0,24
"Missouri","MO",87.89,"6126452",69707,1,13.2,29,2020-04-06,2020-05-04,NA,NA,2020-03-23,2020-05-04,NA,NA,2020-03-23,2020-04-03,2020-05-04,NA,NA,2020-03-23,2020-05-04,NA,NA,2020-05-27,NA,NA,NA,NA,2020-04-03,2020-05-04,2020-12-14,2020-05-04,2020-12-14,2020-05-04,2020-12-14,2020-05-04,2020-12-14,2020-05-04,2020-05-27,2020-12-14,2020-05-04,2020-12-14,2020-12-14,2020-12-14,42,0,42,0,31,0,0,31,28,42,42,0,31
"Montana","MT",7.22,"1062305",147040,0,13,30,2020-03-28,2020-04-26,2020-07-15,2021-02-12,2020-03-20,2020-05-04,NA,NA,2020-03-16,2020-03-20,2020-05-15,NA,NA,2020-03-20,2020-05-04,NA,NA,2020-04-26,NA,NA,NA,NA,2020-03-28,2020-04-27,2020-12-14,2020-05-04,2020-12-14,2020-05-15,2020-12-14,2020-05-04,2020-12-14,2020-04-26,2020-04-26,2020-12-14,2020-04-27,2020-12-14,2020-12-14,2020-12-14,45,0,45,0,56,0,152,56,29,45,45,0,30
"Nebraska","NE",24.94,"1929268",77348,0,11,31,NA,NA,NA,NA,2020-04-03,2020-06-01,NA,NA,2020-04-03,2020-04-03,NA,NA,NA,2020-04-03,2020-06-22,NA,NA,2020-05-04,NA,NA,NA,NA,2020-04-09,2020-06-01,2020-12-14,2020-06-01,2020-12-14,2020-12-14,2020-12-14,2020-06-22,2020-12-14,2020-12-14,2020-05-04,2020-12-14,2020-06-01,2020-12-14,2020-12-14,2020-12-14,59,0,80,0,255,0,0,255,0,59,80,0,53
"Nevada","NV",27.44,"3034392",110572,0,12.9,32,2020-03-31,2020-05-09,2020-06-26,NA,2020-03-21,2020-05-09,NA,NA,2020-03-16,2020-03-21,2020-05-29,NA,NA,2020-03-21,2020-05-29,NA,NA,2020-05-29,NA,NA,NA,NA,2020-03-21,2020-05-09,2020-12-14,2020-05-09,2020-12-14,2020-05-29,2020-12-14,2020-05-29,2020-12-14,2020-05-09,2020-05-29,2020-12-14,2020-05-09,2020-12-14,2020-12-14,2020-12-14,49,0,69,0,69,0,171,69,39,49,69,0,49
"New Hampshire","NH",145.09,"1356458",9349,0,7.6,33,2020-03-28,2020-06-16,2020-11-20,NA,2020-03-16,2020-05-18,NA,NA,2020-03-16,2020-03-28,2020-06-01,NA,NA,2020-03-16,2020-06-15,NA,NA,2020-05-29,NA,NA,NA,NA,2020-03-28,2020-05-11,2020-12-14,2020-05-18,2020-12-14,2020-06-01,2020-12-14,2020-06-15,2020-12-14,2020-06-16,2020-05-29,2020-12-14,2020-05-11,2020-12-14,2020-12-14,2020-12-14,63,0,91,0,65,0,24,65,80,63,91,0,44
"New Jersey","NJ",1021.27,"8908520",8723,0,9.5,34,2020-03-21,2020-06-09,2020-04-08,NA,2020-03-16,2020-06-15,NA,NA,2020-03-18,2020-03-16,2020-09-01,NA,NA,2020-03-16,2020-06-15,NA,NA,2020-06-09,NA,NA,NA,NA,2020-03-21,2020-05-18,2020-12-14,2020-06-15,2020-12-14,2020-09-01,2020-12-14,2020-06-15,2020-12-14,2020-06-09,2020-06-09,2020-12-14,2020-05-18,2020-12-14,2020-12-14,2020-12-14,91,0,91,0,169,0,250,169,80,91,91,0,58
"New Mexico","NM",17.23,"2095428",121590,1,19.5,35,2020-03-24,2020-05-15,2020-05-15,NA,2020-03-20,2020-05-27,2020-07-13,2020-08-29,2020-03-16,2020-03-19,2020-06-01,2020-11-16,NA,2020-03-19,NA,NA,NA,2020-05-16,NA,NA,NA,NA,2020-03-24,2020-05-16,2020-12-14,2020-05-27,2020-08-29,2020-06-01,2020-12-14,2020-12-14,2020-12-14,2020-05-15,2020-05-16,2020-12-14,2020-05-16,2020-11-16,2020-12-14,2020-07-13,68,47,270,0,74,28,213,102,52,115,270,0,53
"New York","NY",358.21,"19542209",54555,1,13.6,36,2020-03-22,2020-06-27,2020-04-17,NA,2020-03-17,2020-06-22,NA,NA,2020-03-18,2020-03-16,NA,NA,NA,2020-03-16,NA,NA,NA,2020-06-22,NA,NA,NA,NA,2020-03-22,2020-06-08,2020-12-14,2020-06-22,2020-12-14,2020-12-14,2020-12-14,2020-12-14,2020-12-14,2020-06-27,2020-06-22,2020-12-14,2020-06-08,2020-12-14,2020-12-14,2020-12-14,97,0,273,0,273,0,241,273,97,97,273,0,78
"North Carolina","NC",192.94,"10383620",53819,1,14,37,2020-03-30,2020-05-22,2020-06-26,NA,2020-03-18,2020-05-22,NA,NA,2020-03-16,2020-03-25,2020-09-04,NA,NA,2020-03-17,2020-10-02,NA,NA,2020-05-16,NA,NA,NA,NA,2020-03-30,2020-05-08,2020-12-14,2020-05-22,2020-12-14,2020-09-04,2020-12-14,2020-10-02,2020-12-14,2020-05-22,2020-05-16,2020-12-14,2020-05-08,2020-12-14,2020-12-14,2020-12-14,65,0,199,0,163,0,171,163,53,65,199,0,39
"North Dakota","ND",10.75,"760077",70698,0,10.7,38,NA,NA,2020-11-14,2021-01-18,2020-03-21,2020-05-01,NA,NA,2020-03-16,2020-03-20,2020-05-01,NA,NA,2020-03-20,2020-05-01,NA,NA,NA,NA,NA,NA,NA,2020-03-20,2020-05-01,2020-12-14,2020-05-01,2020-12-14,2020-05-01,2020-12-14,2020-05-01,2020-12-14,2020-12-14,2020-12-14,2020-12-14,2020-05-01,2020-12-14,2020-12-14,2020-12-14,41,0,42,0,42,0,30,42,0,41,42,0,42
"Ohio","OH",260.77,"11689442",44826,1,13.9,39,2020-03-24,2020-05-20,2020-07-23,NA,2020-03-16,2020-05-15,NA,NA,2020-03-17,2020-03-17,2020-05-22,NA,NA,2020-03-15,2020-05-15,NA,NA,NA,NA,NA,NA,NA,2020-03-24,2020-05-04,2020-12-14,2020-05-15,2020-12-14,2020-05-22,2020-12-14,2020-05-15,2020-12-14,2020-05-20,2020-12-14,2020-12-14,2020-05-04,2020-12-14,2020-12-14,2020-12-14,60,0,61,0,66,0,144,66,57,60,61,0,41
"Oklahoma","OK",56.41,"3943079",69899,0,15.6,40,NA,2020-05-15,NA,NA,2020-04-01,2020-05-01,NA,NA,2020-03-17,2020-04-01,2020-05-01,NA,NA,2020-04-01,2020-05-15,NA,NA,2020-05-01,NA,NA,NA,NA,2020-04-01,2020-04-24,2020-12-14,2020-05-01,2020-12-14,2020-05-01,2020-12-14,2020-05-15,2020-12-14,2020-05-15,2020-05-01,2020-12-14,2020-04-24,2020-12-14,2020-12-14,2020-12-14,30,0,44,0,30,0,0,30,0,30,44,0,23
"Oregon","OR",42.6,"4190713",98379,0,12.6,41,2020-03-23,2020-06-19,2020-07-01,NA,2020-03-18,2020-06-19,2020-11-18,NA,2020-03-16,2020-03-24,2020-06-19,2020-11-18,NA,2020-03-17,2020-06-19,2020-11-18,NA,2020-05-15,NA,NA,NA,NA,2020-03-23,2020-05-15,2020-12-14,2020-06-19,2020-12-14,2020-06-19,2020-12-14,2020-06-19,2020-12-14,2020-06-19,2020-05-15,2020-12-14,2020-05-15,2020-11-18,2020-11-18,2020-11-18,93,26,94,26,87,26,166,113,88,119,120,0,53
"Pennsylvania","PA",278.09,"12807060",46054,1,12.2,42,2020-04-01,2020-06-05,2020-07-01,NA,2020-03-18,2020-06-05,2020-12-12,2021-01-04,2020-03-16,2020-03-21,2020-07-03,2020-12-12,2021-01-04,2020-03-18,2020-06-05,2020-07-16,NA,NA,NA,NA,NA,NA,2020-03-21,2020-06-05,2020-12-14,2020-06-05,2020-12-14,2020-07-03,2020-12-14,2020-06-05,2020-12-14,2020-06-05,2020-12-14,2020-12-14,2020-06-05,2020-12-12,2020-07-16,2020-12-12,79,2,79,151,104,2,166,106,65,81,230,0,76
"Rhode Island","RI",684.35,"1057315",1545,0,12.9,44,2020-03-28,2020-05-09,2020-04-18,NA,2020-03-18,2020-05-18,NA,NA,NA,2020-03-23,2020-06-01,2020-11-30,2020-12-21,2020-03-17,2020-06-01,NA,NA,2020-05-30,NA,NA,NA,NA,2020-03-30,2020-05-09,2020-12-14,2020-05-18,2020-12-14,2020-06-01,2020-12-14,2020-06-01,2020-12-14,2020-05-09,2020-05-30,2020-12-14,2020-05-09,2020-11-30,2020-12-14,NA,61,NA,76,0,70,14,240,84,42,61,76,0,40
"South Carolina","SC",158.78,"5084127",32020,1,15.3,45,2020-04-07,2020-05-04,NA,NA,2020-03-19,2020-05-04,NA,NA,2020-03-16,2020-04-01,2020-05-18,NA,NA,2020-03-18,2020-05-04,NA,NA,NA,NA,NA,NA,NA,2020-04-01,2020-04-20,2020-12-14,2020-05-04,2020-12-14,2020-05-18,2020-12-14,2020-05-04,2020-12-14,2020-05-04,2020-12-14,2020-12-14,2020-04-20,2020-12-14,2020-12-14,2020-12-14,46,0,47,0,47,0,0,47,27,46,47,0,19
"South Dakota","SD",11.44,"882235",77116,0,13.1,46,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-12-14,2020-12-14,2020-12-14,2020-12-14,2020-12-14,2020-12-14,2020-12-14,2020-12-14,2020-12-14,2020-12-14,2020-12-14,2020-12-14,2020-12-14,2020-12-14,NA,0,NA,0,NA,0,0,0,0,0,0,0,0
"Tennessee","TN",160.64,"6770010",42144,1,15.3,47,2020-04-02,2020-04-29,NA,NA,2020-03-24,2020-04-27,NA,NA,2020-03-20,2020-03-23,2020-05-01,NA,NA,2020-03-23,2020-05-22,NA,NA,NA,NA,NA,NA,NA,2020-04-01,2020-04-27,2020-12-14,2020-04-27,2020-12-14,2020-05-01,2020-12-14,2020-05-22,2020-12-14,2020-04-29,2020-12-14,2020-12-14,2020-04-27,2020-12-14,2020-12-14,2020-12-14,34,0,60,0,39,0,0,39,27,34,60,0,26
"Texas","TX",106.86,"28701845",268596,1,14.9,48,2020-04-02,2020-05-01,2020-07-03,2021-03-10,2020-03-21,2020-05-01,NA,NA,2020-03-21,2020-03-21,2020-05-18,NA,NA,2020-03-21,2020-05-29,2020-06-26,2020-10-14,NA,NA,NA,NA,NA,2020-04-02,2020-05-01,2020-12-14,2020-05-01,2020-12-14,2020-05-18,2020-12-14,2020-05-29,2020-10-14,2020-05-01,2020-12-14,2020-12-14,2020-05-01,2020-12-14,2020-06-26,2020-12-14,41,0,69,110,58,0,164,58,29,41,179,0,29
"Utah","UT",37.23,"3161105",84897,0,9,49,NA,NA,2020-04-10,2020-05-01,2020-03-20,2020-05-01,NA,NA,2020-03-16,2020-03-27,2020-05-01,NA,NA,2020-03-19,2020-05-01,NA,NA,2020-05-06,NA,NA,NA,NA,2020-03-27,2020-05-01,2020-05-01,2020-05-01,2020-12-14,2020-05-01,2020-12-14,2020-05-01,2020-12-14,2020-12-14,2020-05-06,2020-12-14,2020-05-01,2020-12-14,2020-12-14,2020-12-14,42,0,43,0,35,0,21,35,0,42,43,0,35
"Vermont","VT",65.13,"626299",9616,0,11,50,2020-03-24,2020-05-15,2020-08-01,NA,2020-03-18,2020-05-22,NA,NA,2020-03-18,2020-03-23,2020-06-01,NA,NA,2020-03-17,2020-05-22,2020-11-15,2021-03-24,2020-05-23,NA,NA,NA,NA,2020-03-25,2020-04-27,2020-12-14,2020-05-22,2020-12-14,2020-06-01,2020-12-14,2020-05-22,2020-12-14,2020-05-15,2020-05-23,2020-12-14,2020-04-27,2020-12-14,2020-11-15,2020-12-14,65,0,66,29,70,0,135,70,52,65,95,0,33
"Virginia","VA",199.13,"8517685",42775,0,10.7,51,2020-03-30,2020-05-29,2020-05-29,NA,2020-03-26,2020-05-29,NA,NA,2020-03-16,2020-03-25,2020-06-12,NA,NA,2020-03-25,2020-05-29,NA,NA,2020-05-29,NA,NA,NA,NA,2020-03-25,2020-05-29,2020-12-14,2020-05-29,2020-12-14,2020-06-12,2020-12-14,2020-05-29,2020-12-14,2020-05-29,2020-05-29,2020-12-14,2020-05-29,2020-12-14,2020-12-14,2020-12-14,64,0,65,0,79,0,199,79,60,64,65,0,65
"Washington","WA",105.69,"7535591",71298,0,10.3,53,2020-03-23,2020-06-01,2020-06-26,NA,2020-03-16,2020-07-03,2020-11-18,NA,2020-03-17,2020-03-16,2020-08-27,2020-11-16,NA,2020-03-17,2020-07-03,2020-11-18,NA,2020-06-01,NA,NA,NA,NA,2020-03-25,2020-06-01,2020-12-14,2020-07-03,2020-12-14,2020-08-27,2020-12-14,2020-07-03,2020-12-14,2020-06-01,2020-06-01,2020-12-14,2020-06-01,2020-11-16,2020-11-18,2020-11-18,109,26,108,26,164,28,171,192,70,135,134,0,68
"West Virginia","WV",74.53,"1805832",24230,1,17.8,54,2020-03-24,2020-05-05,2020-07-07,NA,2020-03-19,2020-05-04,NA,NA,2020-03-16,2020-03-19,2020-05-18,NA,NA,2020-03-18,2020-05-26,NA,NA,NA,NA,NA,NA,NA,2020-03-24,2020-05-04,2020-12-14,2020-05-04,2020-12-14,2020-05-18,2020-12-14,2020-05-26,2020-12-14,2020-05-05,2020-12-14,2020-12-14,2020-05-04,2020-12-14,2020-12-14,2020-12-14,46,0,69,0,60,0,160,60,42,46,69,0,41
"Wisconsin","WI",88.76,"5813568",65496,0,11,55,2020-03-25,2020-05-13,2020-08-01,NA,2020-03-18,2020-05-13,NA,NA,2020-03-18,2020-03-25,2020-05-13,NA,NA,2020-03-17,2020-05-13,NA,NA,2020-05-13,NA,NA,NA,NA,2020-03-25,2020-05-11,2020-12-14,2020-05-13,2020-12-14,2020-05-13,2020-12-14,2020-05-13,2020-12-14,2020-05-13,2020-05-13,2020-12-14,2020-05-11,2020-12-14,2020-12-14,2020-12-14,56,0,57,0,49,0,135,49,49,56,57,0,47
"Wyoming","WY",5.91,"577737",97813,0,11.1,56,NA,NA,2020-12-09,2021-03-16,2020-03-19,2020-05-15,NA,NA,2020-03-19,2020-03-19,2020-05-01,NA,NA,2020-03-19,2020-05-15,NA,NA,2020-05-15,NA,NA,NA,NA,2020-03-19,2020-05-01,2020-12-14,2020-05-15,2020-12-14,2020-05-01,2020-12-14,2020-05-15,2020-12-14,2020-12-14,2020-05-15,2020-12-14,2020-05-01,2020-12-14,2020-12-14,2020-12-14,57,0,57,0,43,0,5,43,0,57,57,0,43
