STATE,POSTCODE,FIPS,STEMERG,STEMERGEND,CLSCHOOL,CLDAYCR,OPNCLDCR,CLNURSHM,STAYHOME,STAYHOMENOGP,END_STHM,CLBSNS,CURFEW,END_BSNS,RELIGEX,FM_ALL,FM_ALL2,FMFINE,FMCITE,FMNOENF,FM_EMP,FM_END,FM_STP,ALCOPEN,ALCREST,ALCDELIV,GUNOPEN,CLREST,ENDREST,RSTOUTDR,CLGYM,ENDGYM,CLMOVIE,END_MOV,CLOSEBAR,END_BRS,END_HAIR,END_RELG,ENDRETL,CURFEWEND,BCLBAR2,CLBAR2,CLMV2,CLHAIR2,CLGYM2,CLRST2,ENDREST2,END_BRS2,END_CLGYM2,END_CLMV2,CLBAR3,CLRST3,END_CLRST3,QRSOMEST,QR_ALLST,QR_END,VAC_PLAN,VAC_HCW,VAC_HCS,VAC_HHC,VAC_AHC,VAC_LTC,VAC_EMS,VAC_FF,VAC_LAW,VAC_CORR,VAC_INC,VAC_SHELTER,VAC_75,VAC_65,VAC_HR,VAC_K12,VAC_HIGHED,VAC_PT,VAC_FOOD,VAC_GROCERY,VAC_ESSWORK,VAC_ADDWORK,VAC_PUB,AGEPRIORITY,PROOFWORK,PROOFAGE,PROOFRES,PENALTY,EXPANDADMIN,EMSTART,EMEND,EMSTART2,EMEND2,EMSTART3,EMEND3,FREEZEINIT,LIFTINIT,FREEZEINIT2,LIFTINIT2,COURTCLOSE,COURTOPEN,COURTCLOSE2,COURTOPEN2,FREEZEENF,LIFTENF,FREEZEENF2,LIFTENF2,C19START,C19END,C19START2,C19END2,CARESSTART,CARESEND,CDCSTART,CDCEND,SMSTART,SMEND,SMSTART2,URSTART,UREND,SNAPALLO,SNAPEBT20,SNAPEBT21,SNAPSUSP,SNAPTLW,MED1135W,ACAENROL,PREVTLHL,TLHLAUD,TLHLMED,CHIPLKOT,LKOTSUS,TEST,CASE,HOSP,DEATH,VACCINE,TESTAIAN,CASEAIAN,HOSPAIAN,DEATHAIAN,VACCINEAIAN,VISITPER,VISITATT,VISITRES,NOCOPAY,NOPAYCOV,NOPAYALL,YESCOPAY,ELECPRCR,ENDELECP,ELECNOSTART,ELECPRCR2,ENDELECP2,WTPRD,WV_WTPRD,REI_WTPRD,WV_WKSR,REI_WKSR,UIQUAR,UIHIRISK,UICLDCR,UIEXTND,UIMAXAMT,UIMAXEXT,UIMAXDUR,UIMAXCAR,EBSTART,EBEND,TUR,TURPRIOR,TURPRIOR2,20EBSTART,20EBEND,UIMINBP,UIQTRNEED,UIOUTHQBP,UIREQBPL2Q,UIBPEARN300,UITAXWA,UIMINTAXR,UIMAXTAXR,UIAVGBFTAUG,LMABRN,TLHlBUPR,EXTOPFL,HMDLVOP,TLHLCL24,EXCEMORP,WVDEAREQ,PDSKLV,MEDEXP,POPDEN18,POP18,SQML,HMLS19,UNEMP18,POV18,RISKCOV,DEATH18,MH19,CASSTATE,AIANRESN,VBMEXC,VBMSIG,VBMPERM,VBMAUTOBAL,VBMAUTOAP,VBMGENELEC,CASCLOSE,CASOPEN,CASCLOSE2,CASOPEN2,CASTRIBCAS,MINWAGE2019,MINWAGEJAN2020,MINWAGEJUL2020,MINWAGESEP2020,MINWAGEOCT2020,TIPMINWAGE2020,MINWAGE2021,SMALLBUSMINWAGE
Alabama,AL,1,3/13/2020,0,3/20/2020,3/20/2020,5/23/2020,3/19/2020,4/4/2020,0,4/30/2020,3/28/2020,0,4/30/2020,0,7/16/2020,0,0,0,1,5/11/2020,0,0,1,3/24/2020,3/24/2020,1,3/19/2020,5/11/2020,0,3/28/2020,5/11/2020,3/28/2020,5/22/2020,3/19/2020,5/11/2020,5/11/2020,5/11/2020,4/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/15/2021,1A,1A,1A,1A,1A,1A,1B,1B,1B,1B,1B,1B,1C,1C,1B,1B,1B,1B,1B,1B,1C,2,0,1,1,0,1,0,4/3/2020,6/1/2020,0,0,0,0,0,0,0,0,0,0,0,0,4/3/2020,6/1/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/24/2020,4/21/2020,0,0,0,3/23/2020,0,0,3/22/2020,3/16/2020,0,0,0,1,0,1,1,0,0,0,0,1,3/13/2020,3/13/2020,0,0,0,1,0,3/19/2020,4/30/2020,0,0,0,0,3/16/2020,0,1,1,1,0,0,0,275,875,20,39,5/31/2020,9/26/2020,7,250,175,0,0,2340,2,780,0,Max Benefit < $300,8000,0.65,6.8,$250.77 ,1,0,0,0,3/20/2020,0,0,0,0,93.24,4887871,52420,"3,261",5.6,16.8,43.1,"54,352",100.7,1,1,0,1,0,0,0,10/29/2020,3/28/2020,5/22/2020,0,0,0,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$2.13 ,$7.25 ,0
Alaska,AK,2,3/11/2020,2/14/2021,3/16/2020,0,0,0,3/28/2020,0,4/24/2020,3/24/2020,0,4/24/2020,0,4/24/2020,0,1,1,0,4/24/2020,5/22/2020,0,1,3/17/2020,3/17/2020,1,3/18/2020,4/24/2020,0,3/18/2020,5/8/2020,3/18/2020,5/8/2020,3/18/2020,5/8/2020,4/24/2020,5/8/2020,4/24/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/25/2020,2/14/2021,3/9/2021,1A,1A,1A,1A,1A,1A,1C,1C,1B,1B,1B,1B,1B,1C,1B,1C,1C,1C,1C,1C,1C,2,1,0,0,0,0,0,3/23/2020,7/1/2020,0,0,0,0,4/10/2020,7/1/2020,0,0,3/23/2020,4/24/2020,0,0,0,0,0,0,4/10/2020,7/1/2020,0,0,0,0,9/4/2020,0,0,0,0,0,0,4/1/2020,6/5/2020,0,0,1,4/2/2020,0,0,3/17/2020,3/20/2020,0,0,0,1,1,1,1,0,1,1,1,1,3/13/2020,3/13/2020,0,0,1,0,0,3/19/2020,4/20/2020,0,0,0,0,3/18/2020,0,1,1,1,0,1,0,370,970,26,39,5/3/2020,0,-,-,-,7/5/2020,12/12/2020,2500,2,250,0,13636.36,41500,1,5.4,$443.23 ,1,0,0,0,0,0,0,0,1,1.11,737438,665384,"1,907",6.8,10.9,32.8,"4,453",429.9,0,1,0,1,0,0,2,10/24/2020,0,0,0,0,0,$10.19 ,$10.19 ,$10.19 ,$10.19 ,$10.19 ,$10.19 ,$10.34 ,0
Arizona,AZ,4,3/11/2020,0,3/16/2020,0,0,0,3/31/2020,0,5/16/2020,3/31/2020,0,5/8/2020,1,0,0,0,0,0,5/8/2020,0,3/30/2020,1,3/19/2020,3/19/2020,1,3/21/2020,5/11/2020,0,3/21/2020,5/13/2020,3/21/2020,5/16/2020,3/21/2020,5/16/2020,5/8/2020,0,5/8/2020,0,6/29/2020,6/29/2020,6/29/2020,0,6/29/2020,0,0,0,0,0,0,0,0,4/9/2020,0,5/12/2020,2/26/2021,1A,1A,1A,1A,1A,1A,1B,1B,1B,1C,1C,1B,1B,1C,1B,1B,1B,1B,1B,1B,2,2,0,1,1,0,1,0,3/24/2020,10/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,3/24/2020,10/31/2020,0,0,3/24/2020,10/31/2020,0,0,3/27/2020,1/31/2021,9/4/2020,2/1/2021,0,0,0,0,0,4/1/2020,4/17/2020,2/25/2021,0,1,3/23/2020,0,0,3/25/2020,3/25/2020,1,1,0,1,1,1,1,0,1,1,1,1,3/13/2020,3/13/2020,0,0,1,0,0,3/21/2020,5/1/2020,0,0,0,0,3/20/2020,0,1,1,1,1,1,0,240,840,26,39,6/14/2020,12/12/2020,6.9,150,147,0,0,7020,2,2340,0,Max Benefit < $300,7000,0.05,12.85,$237.99 ,0,0,0,0,0,3/11/2020,0,1,1,62.91,7171646,113990,"10,007",5.4,14,39.1,"59,282",132.9,1,1,0,0,0,0,0,10/23/2020,0,0,0,0,0,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$9.00 ,$12.15 ,0
Arkansas,AR,5,3/11/2020,0,3/17/2020,0,0,3/13/2020,0,0,0,4/6/2020,11/19/2020,5/4/2020,0,7/20/2020,0,1,1,0,5/11/2020,0,0,1,3/19/2020,3/19/2020,1,3/20/2020,5/11/2020,0,3/20/2020,5/4/2020,3/20/2020,5/18/2020,3/20/2020,5/19/2020,5/6/2020,0,5/18/2020,1/3/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,5/5/2020,0,6/15/2020,1/12/2021,1A,1A,1A,1A,1A,1A,1A,1A,1B,1C,1C,1B,1C,1C,1B,1B,1B,1B,1B,1B,1C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/28/2020,7/25/2020,0,0,4/10/2020,2/27/2021,0,4/10/2020,2/27/2021,3/24/2020,5/21/2020,0,0,0,4/2/2020,0,0,3/13/2020,3/13/2020,0,0,0,1,0,1,0,0,1,0,1,0,3/16/2020,3/16/2020,0,0,1,0,0,4/3/2020,4/27/2020,0,0,0,0,3/17/2020,0,1,1,1,0,0,0,451,1051,16,33,5/31/2020,10/17/2020,7.5,208,208,0,0,2835,2,1,0,31200,7000,0.1,6,$223.84 ,1,0,0,0,0,0,0,0,1,56.67,3013825,53179,"2,717",4.5,17.2,43.5,"32,336",231.6,1,0,0,0,0,0,0,10/27/2020,3/17/2020,5/18/2020,0,0,0,$9.25 ,$10.00 ,$10.00 ,$10.00 ,$10.00 ,$2.63 ,$11.00 ,1
California,CA,6,3/4/2020,0,3/23/2020,0,0,0,3/19/2020,0,1/25/2021,3/19/2020,11/21/2020,5/8/2020,0,6/18/2020,0,0,0,1,5/5/2020,0,0,1,3/19/2020,3/19/2020,0,3/16/2020,5/18/2020,0,3/19/2020,0,3/19/2020,0,3/16/2020,0,8/28/2020,5/25/2020,5/8/2020,1/25/2021,0,0,0,0,0,7/13/2020,0,0,0,0,0,0,0,0,0,0,2/13/2021,1A,1A,1A,1A,1A,1A,1B,1B,1B,1B,1B,1B,1B,1C,1B,1B,1B,1B,1B,1B,^,^,0,0,0,0,1,1,3/27/2020,9/2/2020,0,0,0,0,10/5/2020,7/1/2021,0,0,4/6/2020,10/4/2020,0,0,3/27/2020,6/1/2020,0,0,3/27/2020,6/1/2020,10/5/2020,0,0,0,0,0,3/4/2020,0,0,3/4/2020,0,3/30/2020,4/23/2020,0,0,1,3/23/2020,3/20/2020,0,3/30/2020,3/18/2020,0,0,1,1,0,1,1,1,1,0,1,1,3/11/2020,4/8/2020,0,1,0,0,0,3/19/2020,4/22/2020,0,0,0,0,3/12/2020,0,1,1,1,1,0,0,450,1050,26,39,5/10/2020,0,-,-,-,6/7/2020,1/16/2021,1125,2,225,0,6900,7000,1.5,6.2,$282.35 ,0,0,0,0,0,0,0,1,1,241.65,39557045,163695,"151,278",5.5,12.8,33.3,"268,818",356.2,1,1,0,0,0,1,0,0,0,0,0,0,0,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$13.00 ,1
Colorado,CO,8,3/11/2020,0,3/23/2020,0,0,3/12/2020,3/26/2020,0,4/27/2020,3/19/2020,0,5/1/2020,1,7/16/2020,0,0,0,0,4/23/2020,0,0,1,3/20/2020,3/20/2020,1,3/17/2020,5/27/2020,0,3/17/2020,6/4/2020,3/17/2020,6/18/2020,3/17/2020,6/18/2020,5/1/2020,6/4/2020,5/1/2020,0,6/30/2020,6/30/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/26/2021,1A,1B,1B,1B,1A,1B,1B,1B,1B,2,2,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,2,0,0,0,0,0,1,4/30/2020,6/14/2020,10/21/2020,1/1/2021,0,0,4/30/2020,6/14/2020,10/21/2020,1/1/2021,0,0,0,0,4/30/2020,6/14/2020,10/21/2020,1/1/2021,5/29/2020,6/14/2020,10/21/2020,1/1/2021,0,0,10/15/2020,12/31/2020,0,0,0,0,0,4/1/2020,4/23/2020,0,4/10/2020,1,3/26/2020,3/20/2020,0,4/1/2020,3/20/2020,0,0,0,1,1,1,1,0,1,1,1,1,3/11/2020,0,0,0,1,0,0,3/23/2020,4/27/2020,0,0,0,0,3/20/2020,0,1,2,0,0,0,0,618,1218,26,39,5/31/2020,11/28/2020,6.5,250,197,0,0,2500,1,0,0,13000,13600,0.58,7.4,$371.47 ,0,0,0,0,0,0,0,0,1,54.72,5695564,104094,"9,619",3.9,9.6,31.3,"38,526",356.4,1,1,0,0,1,0,0,0,3/17/2020,0,0,0,0,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$8.98 ,$12.32 ,1
Connecticut,CT,9,3/10/2020,0,3/17/2020,0,0,3/9/2020,0,3/23/2020,5/20/2020,3/23/2020,11/2/2020,5/20/2020,0,4/20/2020,0,0,0,1,4/3/2020,0,0,1,3/19/2020,4/24/2020,1,3/16/2020,5/20/2020,1,3/16/2020,6/17/2020,3/16/2020,6/17/2020,3/16/2020,0,6/1/2020,5/29/2020,5/20/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6/25/2020,0,3/19/2021,2/3/2021,1A,1A,1A,1A,1A,1A,1A,1A,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,1B,^,^,0,0,0,0,0,1,3/16/2020,2/10/2021,0,0,0,0,4/10/2020,2/10/2021,0,0,3/16/2020,9/14/2020,0,0,3/19/2020,1/3/2021,0,0,0,0,0,0,0,0,9/14/2020,2/9/2021,3/12/2020,9/30/2020,0,3/18/2020,5/2/2020,3/28/2020,4/24/2020,0,4/2/2020,1,3/27/2020,3/19/2020,0,3/19/2020,3/18/2020,0,0,0,1,0,1,1,0,1,0,1,1,3/13/2020,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,649,1249,26,39,4/26/2020,0,-,-,-,8/2/2020,12/12/2020,600,1,0,0,15600,15000,0.5,5.4,$289.09 ,0,0,0,0,0,0,0,1,1,644.54,3572665,5543,"3,033",5.5,10.4,36,"31,230",396.9,1,1,0,0,0,0,1,11/2/2020,0,0,0,0,1,$11.00 ,$11.00 ,$11.00 ,$12.00 ,$12.00 ,$6.38 ,$12.00 ,0
Delaware,DE,10,3/13/2020,0,3/16/2020,4/6/2020,6/15/2020,0,3/24/2020,0,6/1/2020,3/24/2020,12/14/2020,5/8/2020,1,4/28/2020,0,1,1,0,5/1/2020,0,0,1,3/18/2020,0,1,3/16/2020,6/1/2020,0,3/19/2020,6/1/2020,3/19/2020,6/1/2020,3/16/2020,6/15/2020,6/8/2020,5/20/2020,5/20/2020,1/8/2021,7/3/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,3/30/2020,6/1/2020,3/2/2021,1A,1A,1A,1A,1A,1A,1B,1B,1B,1C,1C,1B,1B,1C,1B,1B,1B,1B,1B,1B,1C,3,0,0,0,0,0,0,3/17/2020,7/1/2020,0,0,0,0,3/24/2020,7/1/2020,0,0,3/17/2020,7/1/2020,0,0,3/24/2020,7/1/2020,0,0,0,0,0,0,7/1/2020,1/31/2021,9/11/2020,1/31/2021,3/24/2020,7/1/2020,0,0,0,3/26/2020,4/30/2020,2/17/2021,4/13/2020,0,3/27/2020,0,1,1/1/2020,3/18/2020,0,0,1,1,0,1,1,0,0,0,0,0,3/12/2020,0,9/1/2020,0,1,0,0,0,0,5/20/2020,0,0,0,1,0,1,1,0,0,1,0,400,1000,26,39,5/24/2020,1/9/2021,6.4,160,178,10/11/2020,12/19/2020,720,1,0,0,13800,16500,0.1,8,$238.98 ,0,0,0,0,0,0,0,0,1,388.58,967171,2489,921,5.7,12.5,41.3,"9,433",262.6,1,0,0,0,0,0,1,11/2/2020,3/16/2020,6/1/2020,0,0,0,$9.25 ,$9.25 ,$9.25 ,$9.25 ,$9.25 ,$2.23 ,$9.25 ,0
District of Columbia,DC,11,3/11/2020,0,3/16/2020,0,0,0,4/1/2020,0,5/29/2020,3/25/2020,11/23/2020,5/29/2020,0,4/17/2020,0,1,0,0,4/15/2020,0,0,1,3/17/2020,3/17/2020,0,3/16/2020,5/29/2020,1,3/17/2020,6/22/2020,3/17/2020,6/22/2020,3/16/2020,5/29/2020,5/29/2020,6/22/2020,6/22/2020,11/15/2020,0,0,0,0,0,12/23/2020,1/22/2021,0,0,0,0,0,0,7/27/2020,0,0,1/11/2021,1A,1A,1A,1A,1A,1A,1A,1B,1B,1B,1B,1B,1B,1C,1B,1C,1B,1B,1B,1B,1C,2,0,0,0,0,0,0,3/15/2020,1/31/2021,0,0,0,0,5/13/2020,12/16/2020,0,0,3/15/2020,1/31/2021,0,0,5/13/2020,1/31/2021,0,0,0,0,0,0,0,0,,,3/27/2020,1/31/2021,0,0,0,4/1/2020,5/19/2020,3/22/2021,0,1,4/3/2020,4/6/2020,0,3/19/2020,3/12/2020,0,0,0,1,0,1,1,0,1,0,0,0,3/15/2020,3/15/2020,0,1,0,0,0,0,0,0,0,0,0,3/17/2020,0,1,1,1,0,0,0,444,1044,26,39,5/24/2020,0,-,-,-,7/5/2020,1/16/2021,1950,2,650,0,11700,9000,1.6,7,$348.75 ,0,0,0,0,0,0,0,1,1,"11,496.81","702,455",61.1,6521,7.5,16.2,31.8,"5,008",508.6,0,0,0,0,0,1,0,0,0,0,0,0,0,$14.00 ,$14.00 ,$15.00 ,$15.00 ,$15.00 ,$5.00 ,$15.00 ,0
Florida,FL,12,3/9/2020,0,3/17/2020,0,0,3/15/2020,4/3/2020,0,5/18/2020,4/3/2020,0,5/18/2020,1,0,0,0,0,0,5/11/2020,0,0,1,3/20/2020,3/20/2020,1,4/3/2020,5/18/2020,0,4/3/2020,5/18/2020,4/3/2020,6/5/2020,3/17/2020,6/5/2020,5/11/2020,0,5/18/2020,0,6/26/2020,6/26/2020,0,0,0,0,0,9/14/2020,0,0,0,0,0,3/24/2020,0,8/5/2020,3/3/2021,1A,1A,1A,1A,1A,1A,^,^,^,^,^,1A,1A,^,^,^,^,^,^,^,^,^,1,0,0,1,0,0,4/2/2020,10/1/2020,0,0,0,0,4/2/2020,7/29/2020,0,0,0,0,0,0,0,0,0,0,4/2/2020,10/1/2020,0,0,0,0,0,0,0,0,0,0,0,3/30/2020,5/27/2020,3/1/2021,0,0,3/16/2020,0,0,0,3/18/2020,1,0,0,1,1,1,1,0,0,0,0,1,3/11/2020,0,0,0,1,0,0,3/20/2020,5/4/2020,0,0,0,0,3/31/2020,0,1,1,1,0,0,0,275,875,12,25,6/7/2020,11/7/2020,8.7,290,256,0,0,3400,2,1133,0,Max Benefit < $300,7000,0.1,5.4,$232.04 ,0,0,0,0,0,0,0,0,0,323.9,21299325,65758,"28,328",5.2,13.6,42.1,"205,426",160.5,1,1,0,0,0,0,0,10/24/2020,0,0,0,0,0,$8.56 ,$8.56 ,$8.56 ,$8.56 ,$8.56 ,$5.54 ,$8.65 ,0
Georgia,GA,13,3/14/2020,0,3/18/2020,0,0,4/3/2020,4/3/2020,0,5/1/2020,4/3/2020,0,5/1/2020,0,0,0,0,0,0,4/27/2020,0,7/15/2020,1,3/24/2020,0,1,4/3/2020,4/27/2020,0,4/3/2020,4/24/2020,4/3/2020,4/27/2020,3/24/2020,6/1/2020,4/24/2020,0,4/23/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/24/2021,1A,1A,1A,1A,1A,1A,1A,1A,1A,^,^,1A,1A,1C,1B,1B,1B,1B,1B,1B,^,^,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/4/2020,8/25/2020,0,0,0,0,0,0,0,3/24/2020,6/5/2020,0,4/10/2020,1,4/1/2020,0,0,3/18/2020,3/18/2020,0,0,0,1,1,1,1,0,1,1,1,1,3/12/2020,3/16/2020,0,0,1,0,0,0,0,4/20/2020,0,0,1,0,0,1,1,1,1,1,1,365,965,26,27,5/10/2020,2/6/2021,5.3,171,139,7/5/2020,10/10/2020,2200,2,1,0,12000,9500,0.04,7.56,$256.80 ,0,0,0,0,0,4/1/2020,0,0,0,177.02,10519475,59425,"10,443",4.8,14.3,36.2,"85,202",137.3,1,1,0,0,0,0,0,10/30/2020,0,0,0,0,0,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$2.13 ,$7.25 ,1
Hawaii,HI,15,3/4/2020,0,3/16/2020,0,0,3/17/2020,3/25/2020,5/7/2020,5/31/2020,3/25/2020,0,5/7/2020,0,0,0,1,1,0,6/10/2020,0,0,1,4/16/2020,4/16/2020,1,3/17/2020,6/5/2020,0,3/25/2020,6/19/2020,3/17/2020,6/19/2020,3/17/2020,6/26/2020,5/29/2020,5/18/2020,5/7/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/26/2020,0,1/7/2021,1A,1A,1A,1A,1A,1A,1B,1B,1B,2,2,1B,1C,1C,1B,1B,1B,1B,1B,1B,1C,2,0,0,0,0,0,0,3/17/2020,2/15/2021,0,0,0,0,4/16/2020,2/15/2021,0,0,3/17/2020,4/27/2020,0,0,3/17/2020,2/15/2021,0,0,0,0,0,0,0,0,0,0,5/4/2020,2/15/2021,0,5/4/2020,2/15/2021,4/17/2020,5/28/2020,3/16/2021,0,1,3/26/2020,0,0,4/15/2020,3/30/2020,0,0,0,1,1,1,0,0,0,0,0,0,3/13/2020,0,0,0,0,0,1,0,0,4/26/2020,0,0,0,3/16/2020,0,1,1,0,0,0,0,648,1248,26,39,5/17/2020,0,-,-,-,0,0,130,2,1,0,7800,48100,0,5.6,$449.20 ,0,0,0,0,0,0,0,0,1,129.94,1420491,10932,"6,412",3.8,8.8,39.1,"11,415",250.5,0,0,0,0,1,0,0,0,0,0,0,0,0,$10.10 ,$10.10 ,$10.10 ,$10.10 ,$10.10 ,$9.35 ,$10.10 ,0
Idaho,ID,16,3/13/2020,0,3/24/2020,0,0,0,3/25/2020,0,5/1/2020,3/25/2020,0,5/1/2020,0,0,0,0,0,0,0,0,0,1,3/23/2020,3/23/2020,1,3/25/2020,5/16/2020,0,3/25/2020,5/16/2020,3/25/2020,5/30/2020,3/25/2020,5/30/2020,5/16/2020,5/1/2020,5/1/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/15/2020,5/16/2020,2/23/2021,1A,1A,1A,1A,1A,1A,1B,1B,1B,2,1B,1B,1B,1C,1B,2,1B,1B,1B,1B,1C,2,0,1,1,0,0,0,3/16/2020,5/1/2020,0,0,0,0,0,0,0,0,3/16/2020,5/1/2020,0,0,0,0,0,0,0,0,0,0,5/4/2020,7/26/2020,0,0,0,0,0,0,0,4/2/2020,8/13/2020,3/23/2021,0,1,3/26/2020,0,0,4/6/2020,3/17/2020,0,0,0,1,0,1,0,0,1,0,1,0,3/13/2020,0,0,0,0,1,0,0,0,0,0,0,0,3/27/2020,0,1,1,1,0,0,0,448,1048,20,33,5/24/2020,8/22/2020,6.6,228,228,0,0,2340,2,468,0,9750,41600,0.25,5.4,$306.11 ,0,0,0,0,0,0,0,0,1,20.99,1754208,83569,"2,315",4,11.8,36.2,"14,261",208.8,1,1,0,0,0,0,2,10/23/2020,0,0,0,0,0,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$3.35 ,$7.25 ,0
Illinois,IL,17,3/9/2020,0,3/17/2020,3/23/2020,5/29/2020,0,3/21/2020,0,5/29/2020,3/21/2020,0,5/29/2020,0,5/1/2020,0,1,0,0,5/1/2020,0,0,1,3/16/2020,3/16/2020,1,3/16/2020,5/29/2020,1,3/21/2020,5/29/2020,3/21/2020,6/26/2020,3/16/2020,6/26/2020,5/29/2020,5/1/2020,5/29/2020,0,11/20/2020,11/20/2020,11/20/2020,0,0,11/20/2020,0,0,0,0,0,0,0,0,0,0,2/11/2021,1A,1A,1A,1A,1A,1A,1B,1B,1B,1B,2,1B,1B,1C,1B,2,1B,1B,1B,1B,1C,2,0,0,0,0,0,1,3/21/2020,2/7/2021,0,0,0,0,4/23/2020,2/7/2021,0,0,0,0,0,0,3/21/2020,2/7/2021,0,0,11/13/2020,2/7/2021,0,0,3/28/2020,8/25/2020,0,0,3/18/2020,7/26/2020,0,6/18/2020,1/26/2021,4/1/2020,4/17/2020,1/15/2021,0,1,3/23/2020,0,0,3/19/2020,3/19/2020,0,0,1,1,0,1,1,1,1,0,1,1,3/14/2020,0,0,1,0,0,0,0,0,5/11/2020,0,0,0,3/16/2020,0,0,0,1,0,1,0,484,1084,26,39,5/17/2020,0,-,-,-,7/5/2020,1/16/2021,1600,2,440,0,16595.74,12740,0.2,6.4,$313.12 ,0,0,0,0,0,0,0,0,1,220,12741080,57914,"10,199",5.5,12.1,36.2,"110,022",228.8,1,0,0,0,0,0,1,10/29/2020,3/16/2020,7/1/2020,11/20/2020,0,0,$9.25 ,$9.25 ,$10.00 ,$10.00 ,$10.00 ,$6.00 ,$11.00 ,1
Indiana,IN,18,3/6/2020,0,3/20/2020,0,0,0,3/25/2020,0,5/18/2020,3/25/2020,0,5/18/2020,0,7/27/2020,0,0,0,0,5/1/2020,0,0,1,3/23/2020,0,1,3/16/2020,5/18/2020,0,3/25/2020,6/1/2020,3/25/2020,6/12/2020,3/16/2020,6/12/2020,5/18/2020,5/8/2020,5/18/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/2/2021,1A,1A,1A,1A,1A,1A,1A,1A,1A,^,^,1B,1B,^,^,^,^,^,^,^,^,^,1,0,1,1,0,0,3/19/2020,8/15/2020,0,0,0,0,3/19/2020,8/15/2020,0,0,3/19/2020,8/15/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/19/2020,8/15/2020,0,0,0,3/27/2020,5/14/2020,12/30/2020,4/13/2020,0,3/25/2020,0,0,3/30/2020,3/30/2020,1,0,1,1,0,1,1,0,0,0,0,0,3/12/2020,0,0,0,1,0,0,3/16/2020,4/27/2020,0,0,0,0,3/26/2020,1,1,1,1,0,1,0,390,990,26,39,6/7/2020,11/14/2020,6.8,213,194,0,0,4200,2,1400,1,33191.49,9500,0.5,7.4,$221.90 ,1,0,0,0,3/28/2020,0,0,0,1,183.74,6691878,36420,"5,471",4.4,13.1,39.9,"65,693",160,1,0,1,0,0,0,0,10/22/2020,3/16/2020,6/15/2020,0,0,0,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$2.13 ,$7.25 ,1
Iowa,IA,19,3/9/2020,0,4/2/2020,0,0,0,0,0,0,3/26/2020,11/17/2020,5/15/2020,0,11/16/2020,0,0,0,0,11/16/2020,2/7/2021,0,1,3/20/2020,3/20/2020,1,3/17/2020,5/15/2020,0,3/17/2020,5/15/2020,3/17/2020,5/22/2020,3/17/2020,5/28/2020,5/15/2020,5/1/2020,5/15/2020,12/10/2020,8/27/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/21/2021,1A,1A,1A,1A,1A,1A,1B,1B,1B,1B,1B,1B,1B,^,1B,^,1B,1B,1B,1B,^,^,0,0,0,0,0,0,3/19/2020,5/28/2020,0,0,0,0,3/19/2020,5/28/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/23/2020,0,10/2/2020,1/31/2021,3/27/2020,5/28/2020,0,0,0,3/25/2020,6/5/2020,0,0,0,3/25/2020,0,0,3/26/2020,3/13/2020,0,1,0,1,0,1,1,0,1,0,1,1,3/14/2020,0,0,0,1,0,0,3/27/2020,4/27/2020,0,11/17/2020,2/5/2021,1,0,0,1,2,1,1,1,0,481,1081,26,39,5/17/2020,10/31/2020,5.9,211,236,0,0,2423,2,808,0,10350,31600,0,7.5,$343.48 ,1,0,0,0,0,0,0,0,1,56.09,3156145,56273,"2,315",3.6,11.2,36.9,"30,367",155.7,1,1,0,0,0,0,1,10/24/2020,3/16/2020,6/1/2020,0,0,0,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$4.35 ,$7.25 ,0
Kansas,KS,20,3/12/2020,0,3/18/2020,0,0,0,3/30/2020,0,5/4/2020,3/30/2020,0,5/4/2020,1,7/3/2020,0,0,0,1,7/3/2020,0,0,1,3/18/2020,0,1,3/30/2020,5/4/2020,0,3/30/2020,5/18/2020,3/30/2020,5/22/2020,3/30/2020,6/8/2020,5/18/2020,5/4/2020,5/4/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/23/2020,0,0,1/7/2021,1,1,1,1,1,1,2,2,2,2,2,2,2,3,2,5,2,2,2,2,3,5,0,0,0,0,0,0,3/17/2020,6/1/2020,8/19/2020,0,0,0,0,0,0,0,3/17/2020,4/3/2020,0,0,3/23/2020,6/1/2020,8/19/2020,0,3/23/2020,6/1/2020,8/19/2020,3/31/2021,0,0,0,0,3/16/2020,6/1/2020,0,0,0,4/1/2020,4/25/2020,0,0,0,3/24/2020,0,0,6/22/2020,4/1/2020,1,1,1,1,1,1,1,1,1,1,1,1,3/13/2020,0,0,0,1,0,0,0,0,0,0,0,0,3/31/2020,0,1,1,0,0,0,1,488,1088,16,29,6/7/2020,12/12/2020,6,194,188,7/5/2020,10/10/2020,3660,2,1,0,9000,14000,0,7.1,$341.68 ,0,0,0,0,0,0,0,0,0,35.39,2911505,82278,"2,381",3.8,12,38,"27,537",196.7,1,1,0,0,0,0,0,10/27/2020,5/4/2020,5/22/2020,0,0,1,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$2.13 ,$7.25 ,0
Kentucky,KY,21,3/6/2020,0,3/17/2020,3/23/2020,6/8/2020,0,0,3/26/2020,6/29/2020,3/26/2020,8/11/2020,5/11/2020,0,5/11/2020,0,0,0,1,5/11/2020,0,0,1,3/16/2020,3/19/2020,1,3/16/2020,5/22/2020,0,3/18/2020,6/1/2020,3/18/2020,6/1/2020,3/16/2020,6/29/2020,5/25/2020,5/9/2020,5/20/2020,0,7/28/2020,7/28/2020,0,0,0,11/20/2020,0,8/11/2020,0,0,11/20/2020,0,0,0,4/2/2020,5/6/2020,2/8/2021,1A,1A,1A,1A,1A,1A,1B,1B,1B,3,3,1B,1C,1C,1B,3,1C,1C,1C,1C,1C,3,1,0,0,0,0,0,3/16/2020,8/25/2020,0,0,0,0,4/1/2020,8/1/2020,0,0,3/16/2020,8/1/2020,0,0,3/25/2020,8/25/2020,0,0,0,0,0,0,3/27/2020,1/31/2021,9/4/2020,12/31/2020,5/8/2020,11/6/2020,0,0,0,3/28/2020,5/19/2020,2/24/2021,0,1,3/25/2020,0,0,3/18/2020,3/18/2020,0,0,0,1,0,1,1,0,1,0,1,1,3/11/2020,0,0,0,1,0,0,3/18/2020,5/6/2020,0,0,0,0,3/16/2020,0,1,1,1,0,0,0,552,1152,26,39,5/17/2020,11/28/2020,6.8,158,158,6/7/2020,9/12/2020,3271,2,1090,1,25161.45,10800,0.3,9,$319.88 ,1,0,0,0,0,0,0,0,1,110.58,4468402,40408,"4,079",5.2,16.9,43.6,"48,707",227.5,0,0,0,0,0,0,0,10/27/2020,0,0,0,0,0,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$2.13 ,$7.25 ,0
