STATE,POSTCODE,FIPS,STEMERG,STEMERGEND,CLSCHOOL,CLDAYCR,OPNCLDCR,CLNURSHM,STAYHOME,STAYHOMENOGP,END_STHM,CLBSNS,CURFEW,END_BSNS,RELIGEX,FM_ALL,FM_ALL2,FMFINE,FMCITE,FMNOENF,FM_EMP,FM_END,FM_STP,ALCOPEN,ALCREST,ALCDELIV,GUNOPEN,CLREST,ENDREST,RSTOUTDR,CLGYM,ENDGYM,CLMOVIE,END_MOV,CLOSEBAR,END_BRS,END_HAIR,END_RELG,ENDRETL,CURFEWEND,BCLBAR2,CLBAR2,CLMV2,CLHAIR2,CLGYM2,CLRST2,ENDREST2,END_BRS2,END_CLGYM2,END_CLMV2,CLBAR3,CLRST3,END_CLRST3,QRSOMEST,QR_ALLST,QR_END,VAC_PLAN,VAC_HCW,VAC_HCS,VAC_HHC,VAC_AHC,VAC_LTC,VAC_EMS,VAC_FF,VAC_LAW,VAC_CORR,VAC_INC,VAC_SHELTER,VAC_75,VAC_65,VAC_HR,VAC_K12,VAC_HIGHED,VAC_PT,VAC_FOOD,VAC_GROCERY,VAC_ESSWORK,VAC_ADDWORK,VAC_PUB,AGEPRIORITY,PROOFWORK,PROOFAGE,PROOFRES,PENALTY,EXPANDADMIN,EMSTART,EMEND,EMSTART2,EMEND2,EMSTART3,EMEND3,FREEZEINIT,LIFTINIT,FREEZEINIT2,LIFTINIT2,COURTCLOSE,COURTOPEN,COURTCLOSE2,COURTOPEN2,FREEZEENF,LIFTENF,FREEZEENF2,LIFTENF2,C19START,C19END,C19START2,C19END2,CARESSTART,CARESEND,CDCSTART,CDCEND,SMSTART,SMEND,SMSTART2,URSTART,UREND,SNAPALLO,SNAPEBT20,SNAPEBT21,SNAPSUSP,SNAPTLW,MED1135W,ACAENROL,PREVTLHL,TLHLAUD,TLHLMED,CHIPLKOT,LKOTSUS,TEST,CASE,HOSP,DEATH,VACCINE,TESTAIAN,CASEAIAN,HOSPAIAN,DEATHAIAN,VACCINEAIAN,VISITPER,VISITATT,VISITRES,NOCOPAY,NOPAYCOV,NOPAYALL,YESCOPAY,ELECPRCR,ENDELECP,ELECNOSTART,ELECPRCR2,ENDELECP2,WTPRD,WV_WTPRD,REI_WTPRD,WV_WKSR,REI_WKSR,UIQUAR,UIHIRISK,UICLDCR,UIEXTND,UIMAXAMT,UIMAXEXT,UIMAXDUR,UIMAXCAR,EBSTART,EBEND,TUR,TURPRIOR,TURPRIOR2,20EBSTART,20EBEND,UIMINBP,UIQTRNEED,UIOUTHQBP,UIREQBPL2Q,UIBPEARN300,UITAXWA,UIMINTAXR,UIMAXTAXR,UIAVGBFTAUG,LMABRN,TLHlBUPR,EXTOPFL,HMDLVOP,TLHLCL24,EXCEMORP,WVDEAREQ,PDSKLV,MEDEXP,POPDEN18,POP18,SQML,HMLS19,UNEMP18,POV18,RISKCOV,DEATH18,MH19,CASSTATE,AIANRESN,VBMEXC,VBMSIG,VBMPERM,VBMAUTOBAL,VBMAUTOAP,VBMGENELEC,CASCLOSE,CASOPEN,CASCLOSE2,CASOPEN2,CASTRIBCAS,MINWAGE2019,MINWAGEJAN2020,MINWAGEJUL2020,MINWAGESEP2020,MINWAGEOCT2020,TIPMINWAGE2020,MINWAGE2021,SMALLBUSMINWAGE
Louisiana,LA,22,3/11/2020,0,3/16/2020,0,0,3/12/2020,3/23/2020,0,5/15/2020,3/23/2020,0,5/1/2020,0,8/7/2020,0,1,1,0,5/1/2020,0,0,1,3/16/2020,3/16/2020,1,3/17/2020,5/1/2020,1,3/17/2020,5/15/2020,3/17/2020,5/15/2020,3/17/2020,6/5/2020,5/15/2020,5/15/2020,5/15/2020,0,7/13/2020,7/13/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/3/2021,1A,1A,1B,1B,1A,1A,1A,1A,1B,^,^,1B,1B,^,1B,1B,1B,1B,1B,1B,^,^,0,0,0,0,1,1,3/17/2020,6/16/2020,0,0,0,0,0,0,0,0,3/17/2020,6/16/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/13/2020,7/16/2020,0,0,0,3/27/2020,5/14/2020,0,4/13/2020,1,3/23/2020,0,0,3/23/2020,3/13/2020,1,1,0,1,0,1,1,0,1,0,1,1,3/12/2020,3/12/2020,0,0,0,1,0,3/19/2020,4/27/2020,0,0,0,0,3/13/2020,0,1,1,1,0,1,0,247,847,26,39,5/10/2020,1/23/2021,8.6,169,179,0,0,1200,2,400,0,Max Benefit < $300,7700,0.09,6,$180.86 ,1,0,0,0,0,0,0,0,1,88.97,4659978,52378,"2,941",6.4,18.6,42.1,"46,048",264.6,1,1,1,1,0,0,0,10/30/2020,3/17/2020,5/18/2020,0,0,0,$7.25 ,7.25,$7.25 ,$7.25 ,$7.25 ,$2.13 ,$7.25 ,0
Maine,ME,23,3/15/2020,0,4/2/2020,0,0,0,4/2/2020,0,5/31/2020,3/25/2020,11/20/2020,5/1/2020,0,5/1/2020,0,1,0,0,5/1/2020,0,0,1,3/18/2020,3/18/2020,1,3/18/2020,6/1/2020,1,3/25/2020,6/17/2020,3/25/2020,7/1/2020,3/18/2020,6/17/2020,6/17/2020,5/29/2020,6/1/2020,2/1/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,6/12/2020,4/3/2020,0,2/26/2021,1A,1A,1A,1A,1A,1A,1A,1A,1A,2,2,1B,1B,1B,1B,1B,1B,1B,1B,1B,1C,2,0,1,1,1,0,0,3/18/2020,8/3/2020,0,0,0,0,0,0,0,0,3/18/2020,8/3/2020,0,0,4/16/2020,8/3/2020,0,0,0,0,0,0,0,0,0,0,3/16/2020,11/1/2020,0,0,0,3/28/2020,5/5/2020,0,0,1,4/7/2020,0,0,3/20/2020,3/20/2020,1,1,0,1,1,1,1,0,1,1,1,1,3/14/2020,0,7/13/2020,0,1,0,0,0,0,0,0,0,0,3/15/2020,0,1,2,1,0,0,0,445,1045,26,39,5/10/2020,11/14/2020,7.7,266,233,0,0,5336,2,1779,0,13200,12000,0.06,5.46,$294.53 ,0,0,3/24/2020,0,0,0,0,0,1,37.83,1338404,35380,"2,106",3.5,11.6,42.5,"14,715",474.6,1,1,0,0,0,0,0,10/29/2020,0,0,0,0,0,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$12.00 ,$6.00 ,$12.15 ,0
Maryland,MD,24,3/5/2020,0,3/16/2020,3/30/2020,6/19/2020,4/5/2020,3/30/2020,0,5/15/2020,3/23/2020,11/20/2020,5/15/2020,0,4/18/2020,0,1,1,0,4/18/2020,0,0,1,3/19/2020,0,1,3/16/2020,5/29/2020,1,3/16/2020,6/19/2020,3/16/2020,9/1/2020,3/16/2020,6/12/2020,5/15/2020,5/15/2020,5/15/2020,2/1/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,12/17/2020,0,0,2/10/2021,1A,1A,1A,1A,1A,1A,1A,1A,1A,2,1B,1B,1C,2,1B,3,1C,1C,1C,1C,2,3,1,0,0,0,1,1,3/16/2020,3/13/2021,0,0,0,0,0,0,0,0,3/18/2020,7/25/2020,11/16/2020,3/13/2021,0,0,0,0,3/16/2020,1/31/2021,0,0,3/27/2020,8/25/2020,9/4/2020,0,3/16/2020,11/16/2020,0,0,0,4/1/2020,4/28/2020,0,4/13/2020,1,3/26/2020,4/1/2020,0,4/1/2020,3/12/2020,0,0,0,1,0,1,1,0,0,0,0,1,3/12/2020,0,0,0,0,1,0,3/24/2020,5/7/2020,0,0,0,1,0,0,1,1,1,1,1,0,430,1030,26,39,5/31/2020,12/12/2020,7.5,214,197,0,0,1800,2,600,0,10800,8500,0.3,7.5,$305.52 ,0,0,0,0,0,0,0,1,1,487.08,6042718,12406,"6,561",4.9,9,37.1,"50,568",257.4,1,0,0,0,0,0,1,10/20/2020,3/16/2020,6/19/2020,0,0,0,$11.00 ,$11.00 ,$11.00 ,$11.00 ,$11.00 ,$3.63 ,$11.75 ,0
Massachusetts,MA,25,3/10/2020,0,3/17/2020,3/23/2020,6/8/2020,3/16/2020,3/24/2020,0,5/18/2020,3/24/2020,11/6/2020,5/18/2020,0,5/6/2020,0,1,0,0,5/6/2020,0,0,1,4/3/2020,4/3/2020,0,3/17/2020,6/8/2020,1,3/24/2020,7/13/2020,3/24/2020,7/13/2020,3/17/2020,0,5/25/2020,5/18/2020,6/8/2020,1/25/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,7/1/2020,3/27/2020,3/22/2021,3/16/2021,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,2,2,2,2,2,3,0,1,1,0,0,1,3/13/2020,10/18/2020,0,0,0,0,4/20/2020,10/18/2020,0,0,3/13/2020,10/18/2020,0,0,4/20/2020,10/18/2020,0,0,0,0,0,0,0,0,9/4/2020,1/31/2021,3/24/2020,11/16/2020,0,0,0,3/25/2020,4/17/2020,12/15/2020,4/10/2020,1,3/26/2020,3/11/2020,0,3/16/2020,3/12/2020,1,0,0,1,1,1,1,0,1,1,1,1,3/12/2020,0,7/8/2020,0,0,1,0,3/18/2020,5/18/2020,0,0,0,0,3/18/2020,0,1,1,1,0,0,0,823,1423,26,39,5/3/2020,0,-,-,-,7/5/2020,1/16/2021,5100,1,0,0,31200,15000,0.94,14.37,$396.96 ,0,0,0,0,0,4/6/2020,0,1,1,653.98,6902149,10554,"18,471",4.8,10,34.6,"59,152",626.6,1,1,0,0,0,0,1,10/28/2020,3/14/2020,7/6/2020,0,0,0,$12.75 ,$12.75 ,$12.75 ,$12.75 ,$12.75 ,$4.95 ,$13.50 ,0
Michigan,MI,26,3/10/2020,0,3/16/2020,3/24/2020,6/8/2020,3/14/2020,3/24/2020,0,6/1/2020,3/24/2020,2/1/2021,5/26/2020,1,4/27/2020,0,1,1,0,4/26/2020,0,0,1,0,0,0,3/16/2020,6/8/2020,0,3/16/2020,9/9/2020,3/16/2020,10/9/2020,3/16/2020,6/8/2020,6/15/2020,0,6/4/2020,0,7/1/2020,7/31/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/15/2021,1A,1A,1A,1A,1A,1A,1B,1B,1B,2,2,1B,1C,1C,1B,2,1B,1B,1B,1B,1C,2,0,0,0,0,0,0,3/20/2020,7/16/2020,0,0,0,0,3/20/2020,7/16/2020,0,0,0,0,0,0,3/20/2020,7/16/2020,0,0,0,0,0,0,3/27/2020,7/26/2020,10/22/2020,4/1/2021,0,0,0,3/28/2020,10/2/2020,3/24/2020,4/9/2020,2/4/2021,4/9/2020,1,4/6/2020,0,1,1/1/2020,3/12/2020,0,0,0,1,0,1,1,0,1,0,1,1,3/13/2020,0,0,0,1,0,0,3/21/2020,5/29/2020,0,0,0,1,0,0,1,1,1,1,1,1,362,962,26,33,4/26/2020,0,-,-,-,11/8/2020,0,5501,2,1834,0,10975.61,9000,0,6.3,$297.61 ,0,0,0,0,0,0,0,1,1,103.36,9995915,96714,"8,575",5.3,14.1,41.2,"98,903",265.4,1,1,0,0,0,0,1,10/30/2020,3/16/2020,8/5/2020,0,0,0,$9.65 ,$9.65 ,$9.65 ,$9.65 ,$9.65 ,$3.67 ,$9.65 ,1
Minnesota,MN,27,3/13/2020,0,3/18/2020,0,0,0,3/28/2020,0,5/18/2020,3/28/2020,11/13/2020,4/27/2020,0,7/24/2020,0,0,0,0,6/1/2020,0,0,1,4/18/2020,0,1,3/17/2020,6/1/2020,1,3/17/2020,6/10/2020,3/17/2020,6/10/2020,3/17/2020,6/10/2020,6/1/2020,5/18/2020,5/18/2020,0,11/21/2020,11/21/2020,11/21/2020,0,11/21/2020,11/21/2020,0,0,0,0,0,0,0,0,0,0,3/2/2021,1A,1A,1A,1A,1A,1A,1B,1B,1B,2,1A,1B,1B,1B,1B,1B,1B,1B,1B,1B,1C,2,0,0,0,0,0,1,3/16/2020,2/13/2021,0,0,0,0,3/24/2020,2/13/2021,0,0,3/16/2020,3/23/2020,0,0,3/24/2020,2/13/2021,0,0,0,0,0,0,0,0,0,0,6/18/2020,2/13/2021,0,0,0,4/13/2020,5/27/2020,2/8/2021,4/13/2020,1,3/27/2020,3/20/2020,0,4/16/2020,3/28/2020,0,0,0,1,1,1,0,0,1,1,1,0,3/11/2020,0,7/22/2020,0,0,1,0,3/23/2020,5/10/2020,0,0,0,0,4/6/2020,0,0,0,1,0,1,0,740,1340,26,39,5/3/2020,12/19/2020,5,152,172,8/2/2020,10/31/2020,2962,1,0,0,7800,35000,0.1,9,$372.82 ,0,0,0,0,0,0,0,0,1,64.54,5611179,86936,"7,977",3.4,9.6,33.9,"44,745",250.7,1,1,0,0,0,0,0,11/2/2020,0,0,0,0,0,$10.00 ,$10.00 ,$10.00 ,$10.00 ,$10.00 ,$8.15 ,$10.08 ,1
Mississippi,MS,28,3/14/2020,0,3/20/2020,0,0,3/24/2020,4/3/2020,0,4/27/2020,4/3/2020,5/7/2020,4/27/2020,0,8/5/2020,0,0,0,1,5/7/2020,9/30/2020,0,1,3/19/2020,0,1,4/3/2020,5/7/2020,0,4/3/2020,5/11/2020,4/3/2020,6/1/2020,4/3/2020,6/1/2020,5/11/2020,0,4/27/2020,6/15/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/3/2021,1A,1A,1A,1A,1A,1A,1B,1B,^,^,^,1B,1B,1B,1B,^,^,^,^,^,^,^,1,0,0,0,0,0,4/3/2020,6/1/2020,0,0,0,0,0,0,0,0,0,0,0,0,4/3/2020,6/1/2020,0,0,0,0,0,0,0,0,0,0,3/15/2020,5/27/2020,0,0,0,3/27/2020,6/1/2020,0,4/10/2020,0,3/23/2020,0,0,3/16/2020,4/10/2020,0,0,0,1,0,1,1,0,1,0,1,1,3/12/2020,0,0,0,1,0,0,3/19/2020,4/27/2020,0,12/15/2020,1/22/2021,0,3/21/2020,12/27/2020,1,2,1,0,0,0,235,835,26,39,5/17/2020,12/19/2020,7,125,143,0,0,1200,2,420,0,Max Benefit < $300,14000,0,5.4,$184.37 ,1,0,0,0,0,3/30/2020,0,0,0,61.66,2986530,48432,"1,184",7.1,19.7,42.5,"32,301",159,1,1,1,0,0,0,0,0,3/16/2020,5/21/2020,0,0,0,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$2.13 ,$7.25 ,0
Missouri,MO,29,3/13/2020,0,3/23/2020,0,0,3/23/2020,4/6/2020,0,5/4/2020,4/3/2020,0,5/4/2020,1,0,0,0,0,0,0,0,0,1,4/14/2020,0,1,3/23/2020,5/4/2020,0,4/3/2020,5/4/2020,4/3/2020,0,3/23/2020,5/4/2020,5/4/2020,5/27/2020,5/4/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/3/2021,1A,1A,1A,1A,1A,1A,1B,1B,1B,3,2,1B,1B,1B,1B,2,1B,1B,1B,1B,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/30/2020,5/15/2020,0,0,0,3/25/2020,0,0,3/26/2020,3/23/2020,1,1,1,1,0,1,1,1,1,0,1,1,3/12/2020,0,6/25/2020,1,0,0,0,0,0,0,0,0,0,3/18/2020,7/5/2020,1,2,1,0,0,0,320,920,20,26,5/31/2020,10/10/2020,7.2,225,240,0,0,2250,2,750,0,15000,11500,0,5.4,$238.50 ,0,0,0,0,0,0,0,0,0,87.89,6126452,69707,"6,179",4.2,13.2,40.5,"63,117",193.7,1,0,0,1,0,0,0,10/21/2020,3/17/2020,6/1/2020,0,0,0,$9.45 ,$9.45 ,$9.45 ,$9.45 ,$9.45 ,$4.73 ,$10.30 ,1
Montana,MT,30,3/12/2020,0,3/16/2020,0,0,3/15/2020,3/28/2020,0,4/26/2020,3/28/2020,11/20/2020,4/27/2020,0,0,0,0,0,0,7/15/2020,2/12/2021,0,1,4/27/2020,4/27/2020,1,3/20/2020,5/4/2020,0,3/20/2020,5/15/2020,3/20/2020,5/15/2020,3/20/2020,5/4/2020,4/27/2020,4/26/2020,4/27/2020,1/15/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/30/2020,6/1/2020,3/2/2021,1A,1A,1A,1A,1A,1A,1C,1C,1C,1C,1C,1B,1B,1B,1C,1C,1C,1C,1C,1C,2,2,1,0,0,0,0,0,3/30/2020,5/25/2020,0,0,0,0,3/30/2020,5/25/2020,0,0,0,0,0,0,3/30/2020,5/25/2020,0,0,4/13/2020,5/25/2020,0,0,0,0,0,0,3/30/2020,5/25/2020,0,0,0,4/1/2020,6/26/2020,0,4/10/2020,1,3/30/2020,0,0,3/20/2020,3/19/2020,0,0,0,1,1,1,0,0,1,1,1,0,3/13/2020,0,0,1,0,0,0,0,0,0,0,0,0,3/17/2020,0,1,2,1,0,0,0,552,1152,28,41,5/3/2020,11/14/2020,5.8,166,161,0,0,2982,2,994,0,15789.47,34100,0,6.12,$345.61 ,0,0,0,0,0,0,0,0,1,7.22,1062305,147040,"1,357",3.5,13,39,"9,992",295.3,1,1,0,0,0,2,0,0,3/20/2020,5/4/2020,0,0,0,$8.65 ,$8.65 ,$8.65 ,$8.65 ,$8.65 ,$4.00 ,$8.75 ,1
Nebraska,NE,31,3/13/2020,0,4/3/2020,0,0,0,0,0,0,4/9/2020,0,6/1/2020,0,0,0,0,0,0,5/4/2020,0,5/29/2020,1,3/19/2020,3/19/2020,1,4/3/2020,6/1/2020,0,4/3/2020,0,4/9/2020,6/22/2020,4/3/2020,6/22/2020,6/1/2020,5/4/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/22/2021,1A,1A,1A,1A,1A,1A,1B,1B,1B,1C,1C,1B,1B,1B,1B,1B,1B,1B,1B,1B,2,2,0,0,0,1,0,0,3/25/2020,5/31/2020,0,0,0,0,0,0,0,0,3/25/2020,5/31/2020,0,0,0,0,0,0,3/25/2020,5/31/2020,0,0,0,0,0,0,3/24/2020,8/15/2020,0,0,0,4/7/2020,6/16/2020,3/10/2021,0,0,4/2/2020,0,0,3/23/2020,3/17/2020,0,0,0,1,1,1,1,0,1,1,1,1,3/16/2020,0,0,1,0,0,0,4/3/2020,5/4/2020,0,0,0,0,3/17/2020,1,1,2,1,0,0,0,440,1040,26,39,6/14/2020,9/12/2020,5.2,168,179,0,0,4324,2,800,0,31200,9000,0,5.4,$290.86 ,1,0,0,0,0,0,0,0,1,24.94,1929268,77348,2365,3.5,11,36.6,"16,904",254.7,1,1,0,0,0,2,1,10/23/2020,0,0,0,0,0,$9.00 ,$9.00 ,$9.00 ,$9.00 ,$9.00 ,$2.13 ,$9.00 ,1
Nevada,NV,32,3/12/2020,0,3/16/2020,0,0,0,3/31/2020,0,5/9/2020,3/21/2020,0,5/9/2020,0,6/26/2020,0,1,1,0,5/9/2020,0,0,0,0,0,1,3/21/2020,5/9/2020,0,3/21/2020,5/29/2020,3/21/2020,5/29/2020,3/21/2020,5/29/2020,5/9/2020,5/29/2020,5/9/2020,0,7/10/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/12/2021,1A,1A,1A,1A,1A,1A,1B,1B,1B,2,1C,1B,1C,1C,1B,1B,1B,1B,1B,1B,1B,2,0,0,0,0,0,1,3/30/2020,10/15/2020,12/15/2020,0,0,0,3/30/2020,10/15/2020,12/15/2020,0,3/30/2020,9/1/2020,12/15/2020,0,3/30/2020,9/1/2020,12/15/2020,0,12/15/2020,0,0,0,0,0,12/15/2020,0,0,0,0,0,0,4/7/2020,7/10/2020,0,5/13/2020,1,4/7/2020,3/17/2020,0,3/17/2020,3/17/2020,1,1,1,1,0,1,1,1,1,0,1,1,3/7/2020,3/16/2020,0,0,0,0,1,0,0,0,0,0,0,3/18/2020,0,1,1,0,0,0,0,469,1069,26,39,5/3/2020,0,-,-,-,6/7/2020,1/16/2021,600,2,200,0,11250,32500,0.25,5.4,$333.17 ,0,0,0,0,0,0,4/8/2020,1,1,27.44,3034392,110572,"7,169",5.6,12.9,36.1,"24,715",211.6,1,1,0,0,0,1,0,0,3/17/2020,6/4/2020,0,0,0,$8.25 ,$8.25 ,$9.00 ,$9.00 ,$9.00 ,$8.00 ,$8.00 ,1
New Hampshire,NH,33,3/13/2020,0,3/16/2020,0,0,3/16/2020,3/28/2020,0,6/16/2020,3/28/2020,0,5/11/2020,0,11/20/2020,0,0,0,0,5/1/2020,0,0,1,3/18/2020,3/18/2020,1,3/16/2020,5/18/2020,0,3/28/2020,6/1/2020,3/28/2020,6/29/2020,3/16/2020,6/15/2020,5/11/2020,5/29/2020,5/11/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/15/2020,0,0,1/16/2021,1A,1A,1A,1A,1A,1A,1A,1A,1B,3B,3B,1B,1B,3A,2A,3B,3B,3B,3B,3B,3B,3B,1,0,0,1,0,1,3/17/2020,7/1/2020,0,0,0,0,3/17/2020,7/1/2020,0,0,0,0,0,0,3/17/2020,7/1/2020,0,0,0,0,0,0,3/27/2020,2/23/2021,9/8/2020,0,3/17/2020,0,0,0,0,4/1/2020,5/12/2020,0,4/13/2020,0,3/23/2020,0,0,3/18/2020,3/17/2020,0,0,0,1,1,1,0,0,1,0,1,0,3/16/2020,3/16/2020,8/10/2020,0,1,0,0,0,0,0,0,0,0,3/17/2020,0,0,0,1,1,1,0,427,1027,26,39,5/10/2020,12/5/2020,5.5,212,220,7/5/2020,10/10/2020,2800,2,1400,0,27272.73,14000,0.1,7.5,$260.53 ,0,0,0,0,0,4/6/2020,0,0,1,145.09,1356458,9349,"1,396",3.6,7.6,40.5,"12,774",307.3,1,0,0,1,0,0,0,0,0,0,0,0,0,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$3.26 ,$7.25 ,0
New Jersey,NJ,34,3/9/2020,0,3/18/2020,3/18/2020,6/15/2020,6/19/2020,3/21/2020,0,6/9/2020,3/21/2020,11/10/2020,5/18/2020,0,4/8/2020,0,1,1,0,4/8/2020,0,0,1,3/21/2020,3/30/2020,1,3/16/2020,6/15/2020,1,3/16/2020,9/1/2020,3/16/2020,9/4/2020,3/16/2020,6/15/2020,6/22/2020,6/9/2020,6/15/2020,2/5/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/28/2020,1A,1A,1A,1A,1A,1A,1B,1B,^,^,^,1B,1C,1C,^,^,^,^,^,^,^,2,1,0,0,0,1,0,3/16/2020,1/31/2021,0,0,0,0,0,0,0,0,3/16/2020,1/31/2021,0,0,3/19/2020,1/31/2021,0,0,0,0,0,0,3/27/2020,7/25/2020,0,0,4/13/2020,0,0,4/13/2020,0,3/25/2020,5/8/2020,0,4/13/2020,1,3/23/2020,0,0,3/22/2020,3/20/2020,1,1,0,1,1,1,1,0,0,0,0,0,3/14/2020,0,0,0,1,0,0,3/27/2020,5/26/2020,0,0,0,1,0,0,1,1,1,0,1,0,713,1313,26,39,5/3/2020,0,-,-,-,7/5/2020,0,4400,2,0,0,26000,35300,0.4,5.4,$395.10 ,0,0,0,0,0,0,0,1,1,"1,021.27",8908520,8723,"8,862",4.9,9.5,34.6,"75,765",220.7,1,0,0,0,0,1,0,0,3/16/2020,6/26/2020,0,0,0,$11.00 ,$11.00 ,$11.00 ,$11.00 ,$11.00 ,$3.13 ,$12.00 ,0
New Mexico,NM,35,3/11/2020,0,3/16/2020,0,0,3/13/2020,3/24/2020,0,0,3/24/2020,10/16/2020,5/16/2020,1,5/15/2020,0,0,0,1,5/6/2020,0,0,0,0,0,0,3/20/2020,5/27/2020,1,3/19/2020,6/1/2020,3/19/2020,0,3/19/2020,0,6/1/2020,5/16/2020,5/16/2020,11/13/2020,0,0,0,11/16/2020,11/16/2020,7/13/2020,8/29/2020,0,0,0,0,11/16/2020,12/2/2020,9/4/2020,7/1/2020,2/11/2021,1/28/2021,1A,1A,1A,1A,1A,1A,1B,1B,1A,1B,1B,1B,1C,1B,1B,2,1B,1B,1B,1B,1C,2,0,1,0,0,0,0,3/24/2020,1/31/2021,0,0,0,0,0,0,0,0,0,0,0,0,3/24/2020,1/31/2021,0,0,0,0,0,0,0,0,0,0,3/19/2020,2/6/2021,0,0,0,3/27/2020,4/28/2020,1/28/2021,0,1,3/23/2020,0,0,3/20/2020,3/20/2020,0,0,0,1,1,1,1,0,1,1,1,1,3/12/2020,3/16/2020,0,1,0,0,0,3/27/2020,4/30/2020,0,12/11/2020,2/5/2021,0,3/15/2020,0,1,1,1,0,0,0,511,1111,26,39,5/17/2020,0,-,-,-,0,0,2089.72,2,1,0,7289.72,25800,0.33,5.4,$315.11 ,0,0,0,0,0,0,0,0,1,17.23,2095428,121590,"3,241",6.1,19.5,39.4,"19,007",388.8,1,1,0,0,0,0,2,10/20/2020,3/16/2020,0,0,0,1,$9.00 ,$9.00 ,$9.00 ,$9.00 ,$9.00 ,$2.35 ,$10.50 ,0
New York,NY,36,3/7/2020,0,3/18/2020,0,0,3/13/2020,3/22/2020,0,6/27/2020,3/22/2020,11/13/2020,6/8/2020,1,4/17/2020,0,1,0,0,4/17/2020,0,0,1,3/16/2020,3/16/2020,0,3/17/2020,6/22/2020,1,3/16/2020,0,3/16/2020,3/5/2021,3/16/2020,0,6/22/2020,6/22/2020,6/8/2020,3/16/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,6/25/2020,0,0,3/3/2021,1A,1A,1A,1A,1A,1A,1B,1B,1B,1B,1B,1B,1B,^,1B,1B,1B,^,1B,^,^,^,0,1,1,1,1,1,3/16/2020,0,0,0,0,0,3/22/2020,7/7/2020,0,0,3/16/2020,10/12/2020,12/28/2020,2/27/2021,3/16/2020,1/31/2021,0,0,6/20/2020,0,0,0,0,0,0,0,6/17/2020,1/31/2021,0,6/17/2020,1/31/2021,4/1/2020,5/6/2020,0,0,1,3/26/2020,3/16/2020,0,3/15/2020,3/1/2020,0,0,0,0,0,1,1,0,0,0,0,0,3/14/2020,0,8/5/2020,1,0,0,0,3/20/2020,6/8/2020,0,0,0,0,3/12/2020,0,0,0,0,0,0,0,504,1104,26,39,5/3/2020,0,-,-,-,7/5/2020,0,3900,2,1300,0,11250,11600,0,6.9,$333.83 ,0,0,0,0,3/27/2020,0,0,0,1,358.21,19542209,54555,"92,091",5,13.6,36.9,"157,183",291.1,1,1,0,0,0,0,2,10/27/2020,3/16/2020,9/9/2020,0,0,1,$11.80 ,$11.80 ,$11.80 ,$11.80 ,$11.80 ,$7.85 ,$12.50 ,0
North Carolina,NC,37,3/10/2020,0,3/16/2020,0,0,3/25/2020,3/30/2020,0,5/22/2020,3/30/2020,12/11/2020,5/8/2020,1,6/26/2020,0,0,1,0,6/26/2020,0,0,1,3/17/2020,3/17/2020,1,3/18/2020,5/22/2020,0,3/25/2020,9/4/2020,3/25/2020,0,3/17/2020,10/2/2020,5/22/2020,5/16/2020,5/8/2020,2/28/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/1/2021,1,1,1,1,1,1,3,3,3,4,4,2,2,4,3,3,3,3,3,3,4,5,1,0,0,0,0,0,3/16/2020,6/21/2020,10/28/2020,0,0,0,5/30/2020,6/20/2020,0,0,3/16/2021,6/21/2020,0,0,5/30/2020,7/30/2020,0,0,0,0,0,0,3/27/2020,1/13/2021,10/30/2020,4/1/2021,3/19/2020,9/1/2020,0,0,0,3/27/2020,4/16/2020,2/1/2021,4/13/2020,0,3/23/2020,0,0,0,3/23/2020,0,0,0,1,1,1,1,0,1,1,1,1,3/13/2020,0,0,0,1,0,0,0,0,5/1/2020,0,0,0,3/17/2020,0,1,1,1,1,0,0,350,950,12,25,5/17/2020,0,-,-,-,7/5/2020,10/10/2020,5602,2,1,1,15600,25200,0.06,5.76,$210.98 ,0,0,0,0,0,0,0,0,0,192.94,10383620,53819,"9,314",5,14,39,"93,885",243.6,1,1,0,0,0,0,0,10/27/2020,0,0,0,0,0,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$2.13 ,$7.25 ,0
North Dakota,ND,38,3/13/2020,0,3/16/2020,0,0,4/6/2020,0,0,0,3/20/2020,11/16/2020,5/1/2020,0,11/14/2020,0,0,0,0,4/28/2020,1/18/2021,0,1,0,0,1,3/21/2020,5/1/2020,0,3/20/2020,5/1/2020,3/20/2020,5/1/2020,3/20/2020,5/1/2020,5/1/2020,0,5/1/2020,12/22/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,3/28/2020,0,9/21/2020,12/31/2020,1A,1A,1A,1A,1A,1A,1A,1A,1B,1B,1B,1B,1B,1C,1B,^,1C,1C,1C,1C,^,^,1,0,0,0,0,0,3/26/2020,4/22/2020,0,0,0,0,0,0,0,0,3/26/2020,4/22/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4/1/2020,5/1/2020,3/10/2021,0,1,3/24/2020,0,0,3/20/2020,3/20/2020,0,0,0,1,0,0,1,0,1,0,0,1,3/12/2020,3/12/2020,6/27/2020,0,1,0,0,0,0,0,0,0,0,4/1/2020,0,1,2,1,0,0,0,618,1218,26,39,5/31/2020,10/3/2020,6.3,263,242,0,0,2795,2,932,0,19500,37900,0.08,9.69,$463.06 ,0,0,0,0,0,0,0,0,1,10.75,760077,70698,557,2.8,10.7,34.6,"6,445",188.4,1,1,0,0,0,0,1,0,0,0,0,0,0,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$7.25 ,$4.86 ,$7.25 ,0
Ohio,OH,39,3/9/2020,0,3/17/2020,3/26/2020,5/31/2020,3/11/2020,3/24/2020,0,5/20/2020,3/24/2020,11/19/2020,5/4/2020,1,7/23/2020,0,0,0,1,4/29/2020,0,0,1,4/7/2020,4/7/2020,1,3/16/2020,5/15/2020,1,3/17/2020,5/22/2020,3/17/2020,6/10/2020,3/15/2020,5/15/2020,5/15/2020,0,5/12/2020,2/11/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/1/2021,1A,1A,1A,1A,1A,1A,1C,1C,1C,^,^,1B,1B,1C,1B,^,^,^,^,^,^,^,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/31/2020,7/10/2020,0,0,0,3/26/2020,5/11/2020,1/15/2021,4/13/2020,1,4/22/2020,0,0,3/19/2020,3/9/2020,0,0,0,1,1,1,1,0,1,1,1,1,3/10/2020,0,7/8/2020,0,1,0,0,3/18/2020,5/1/2020,0,0,0,0,3/16/2020,0,1,1,1,1,0,0,647,1247,26,39,5/10/2020,12/26/2020,6.7,163,152,6/7/2020,12/12/2020,5390,2,1,0,31200,9000,0.3,9.4,$320.75 ,1,0,0,0,0,0,0,0,1,260.77,11689442,44826,"10,345",4.9,13.9,39.8,"124,264",245.1,1,0,0,0,0,0,0,10/31/2020,0,0,0,0,0,$8.70 ,$8.70 ,$8.70 ,$8.70 ,$8.70 ,$4.35 ,$8.80 ,1
